graph,kind,1-hop,COMPA,hopper,anomaly-forest,GCN-statyczny,reczny-kontekst,temporalny-GNN,temporalny-GNN-uwaga,mean_deg,deg_gini,clustering,density
org-400,org,0.5932,0.6853,0.6045,0.6144,0.7461,0.6289,0.7544,0.741,7.5,0.05,0.8485,0.0188
org-800,org,0.5855,0.7615,0.6529,0.6819,0.8318,0.6901,0.8275,0.8217,7.5,0.05,0.8485,0.0094
ER-k6,rand,0.5067,0.6153,0.5624,0.5264,0.697,0.5508,0.7299,0.7278,6.0643,0.2218,0.0112,0.0103
ER-k12,rand,0.5053,0.6175,0.5702,0.5305,0.6485,0.5391,0.7144,0.7168,12.0,0.1598,0.0209,0.02
BA-m2,rand,0.5509,0.6242,0.616,0.5827,0.713,0.6252,0.7438,0.733,3.9867,0.3941,0.0158,0.0067
BA-m5,rand,0.5188,0.6071,0.5388,0.5094,0.6595,0.5461,0.7107,0.7149,9.9167,0.3514,0.0432,0.0166
WS-b03,rand,0.5075,0.6477,0.5656,0.5375,0.7108,0.5501,0.7305,0.7329,7.9833,0.0994,0.2114,0.0133
email-Eu-core,real,0.5575,0.6037,0.5473,0.5228,0.555,0.5711,0.7399,0.7435,35.8451,0.5002,0.2691,0.0403
CollegeMsg,real,0.551,0.6363,0.5605,0.5561,0.5598,0.578,0.7959,0.7961,17.916,0.5861,0.0592,0.012
sx-mathoverflow,real,0.5787,0.6683,0.582,0.5627,0.5126,0.601,0.8107,0.8114,101.7853,0.4377,0.2255,0.0679
sx-askubuntu,real,0.5702,0.6718,0.5769,0.5609,0.5092,0.5902,0.8169,0.8148,64.592,0.4486,0.1697,0.0431
sx-superuser,real,0.573,0.6771,0.582,0.5681,0.513,0.5922,0.8178,0.8174,89.724,0.4157,0.1937,0.0599
