regime,model,fpr,recall,auc
blast,tab_ctx,0.001,0.0033,0.8689
blast,tab_ctx,0.005,0.0218,0.8689
blast,tab_ctx,0.01,0.0389,0.8689
blast,tab_ctx,0.05,0.2972,0.8689
blast,compa,0.001,0.1918,0.9327
blast,compa,0.005,0.2909,0.9327
blast,compa,0.01,0.3991,0.9327
blast,compa,0.05,0.8067,0.9327
blast,gnn_temporal,0.001,0.0351,0.8898
blast,gnn_temporal,0.005,0.0731,0.8898
blast,gnn_temporal,0.01,0.1114,0.8898
blast,gnn_temporal,0.05,0.4066,0.8898
stealthy,tab_ctx,0.001,0.0108,0.7419
stealthy,tab_ctx,0.005,0.0196,0.7419
stealthy,tab_ctx,0.01,0.0367,0.7419
stealthy,tab_ctx,0.05,0.124,0.7419
stealthy,compa,0.001,0.0011,0.549
stealthy,compa,0.005,0.0041,0.549
stealthy,compa,0.01,0.0109,0.549
stealthy,compa,0.05,0.0663,0.549
stealthy,gnn_temporal,0.001,0.0087,0.7257
stealthy,gnn_temporal,0.005,0.026,0.7257
stealthy,gnn_temporal,0.01,0.0376,0.7257
stealthy,gnn_temporal,0.05,0.1541,0.7257
