dataset,regime,model,auc,recall_fpr1
email-Eu-core,blast,tab_ctx,0.6587,0.0297
email-Eu-core,blast,compa,0.9676,0.2869
email-Eu-core,blast,gnn_temporal,0.7044,0.0598
email-Eu-core,blast,gnn_temporal_shuf,0.6211,0.0266
email-Eu-core,stealthy,tab_ctx,0.8667,0.1121
email-Eu-core,stealthy,compa,0.6962,0.0
email-Eu-core,stealthy,gnn_temporal,0.8776,0.0789
email-Eu-core,stealthy,gnn_temporal_shuf,0.7676,0.0879
CollegeMsg,blast,tab_ctx,0.6395,0.0202
CollegeMsg,blast,compa,0.9734,0.3541
CollegeMsg,blast,gnn_temporal,0.7009,0.0418
CollegeMsg,blast,gnn_temporal_shuf,0.6083,0.0213
CollegeMsg,stealthy,tab_ctx,0.8267,0.107
CollegeMsg,stealthy,compa,0.6583,0.018
CollegeMsg,stealthy,gnn_temporal,0.854,0.1195
CollegeMsg,stealthy,gnn_temporal_shuf,0.757,0.1098
