sweep,value,model,auc,recall_fpr1
p_infect,0.05,tab_1hop,0.5972,0.0059
p_infect,0.05,compa,0.9981,1.0
p_infect,0.05,tab_ctx,0.8851,0.0829
p_infect,0.05,gnn_temporal,0.9635,0.2614
p_infect,0.1,tab_1hop,0.5574,0.0014
p_infect,0.1,compa,0.9921,0.8702
p_infect,0.1,tab_ctx,0.8689,0.0848
p_infect,0.1,gnn_temporal,0.9577,0.2432
p_infect,0.2,tab_1hop,0.5911,0.0026
p_infect,0.2,compa,0.9689,0.5113
p_infect,0.2,tab_ctx,0.8504,0.0675
p_infect,0.2,gnn_temporal,0.9128,0.1114
p_infect,0.3,tab_1hop,0.5953,0.0012
p_infect,0.3,compa,0.9464,0.3923
p_infect,0.3,tab_ctx,0.8436,0.0467
p_infect,0.3,gnn_temporal,0.8794,0.105
p_infect,0.5,tab_1hop,0.6843,0.0066
p_infect,0.5,compa,0.9339,0.4385
p_infect,0.5,tab_ctx,0.85,0.0407
p_infect,0.5,gnn_temporal,0.8825,0.1047
p_infect,0.7,tab_1hop,0.7335,0.0196
p_infect,0.7,compa,0.9339,0.4414
p_infect,0.7,tab_ctx,0.8708,0.0489
p_infect,0.7,gnn_temporal,0.8951,0.1445
p_infect,0.9,tab_1hop,0.7937,0.013
p_infect,0.9,compa,0.951,0.491
p_infect,0.9,tab_ctx,0.8915,0.0616
p_infect,0.9,gnn_temporal,0.925,0.1953
max_hops,1,tab_1hop,0.5848,0.003
max_hops,1,compa,0.998,0.9935
max_hops,1,tab_ctx,0.9174,0.1243
max_hops,1,gnn_temporal,0.9705,0.372
max_hops,2,tab_1hop,0.6245,0.0091
max_hops,2,compa,0.9439,0.6462
max_hops,2,tab_ctx,0.8696,0.0598
max_hops,2,gnn_temporal,0.9396,0.1832
max_hops,3,tab_1hop,0.7014,0.0116
max_hops,3,compa,0.9409,0.4669
max_hops,3,tab_ctx,0.8621,0.0604
max_hops,3,gnn_temporal,0.8998,0.1095
max_hops,4,tab_1hop,0.7107,0.0237
max_hops,4,compa,0.9313,0.3872
max_hops,4,tab_ctx,0.8713,0.0353
max_hops,4,gnn_temporal,0.8932,0.1183
max_hops,5,tab_1hop,0.7055,0.012
max_hops,5,compa,0.9223,0.3362
max_hops,5,tab_ctx,0.8551,0.0456
max_hops,5,gnn_temporal,0.871,0.1056
