mode,model,auc,recall_fpr1,recall_fpr01,n_seeds
victim,idgnn,0.7673,0.0648,0.0059,5
victim,featgnn_l0.0,0.8081,0.0302,0.0034,5
victim,featgnn_l0.1,0.8082,0.0276,0.001,5
victim,featgnn_l0.5,0.805,0.0585,0.0039,5
victim,featgnn_l1.0,0.8061,0.0561,0.0072,5
victim,lgbm,0.8602,0.0557,0.0073,5
org,idgnn,0.7536,0.0535,0.0117,5
org,featgnn_l0.0,0.8028,0.0253,0.0029,5
org,featgnn_l0.1,0.8027,0.0132,0.0,5
org,featgnn_l0.5,0.7987,0.0398,0.0131,5
org,featgnn_l1.0,0.8006,0.0399,0.0105,5
org,lgbm,0.8587,0.0678,0.005,5
org_strict,idgnn,0.797,0.059,0.0101,5
org_strict,featgnn_l0.0,0.803,0.0183,0.0057,5
org_strict,featgnn_l0.1,0.8059,0.0523,0.0137,5
org_strict,featgnn_l0.5,0.8011,0.0652,0.02,5
org_strict,featgnn_l1.0,0.7999,0.0475,0.0119,5
org_strict,lgbm,0.8499,0.0732,0.0058,5
