strategia,reach,max_auc_panel,leader,feasible,1-hop,COMPA,hopper,anomaly-forest,GCN-statyczny,reczny-kontekst,temporalny-GNN,temporalny-GNN-uwaga
K5-g8-m0.0,0.669,0.785,temporalny-GNN,1,0.66,0.782,0.562,0.624,0.781,0.667,0.785,0.777
K5-g4-m0.3,0.677,0.789,GCN-statyczny,1,0.706,0.766,0.641,0.663,0.789,0.677,0.783,0.769
K5-g8-m0.3,0.677,0.789,GCN-statyczny,1,0.708,0.761,0.625,0.661,0.789,0.676,0.772,0.758
K2-g8-m0.0,0.267,0.794,GCN-statyczny,0,0.522,0.701,0.662,0.702,0.794,0.68,0.758,0.729
K2-g2-m0.0,0.267,0.796,hopper,0,0.542,0.703,0.796,0.75,0.795,0.761,0.782,0.77
K2-g4-m0.0,0.267,0.796,temporalny-GNN,0,0.527,0.7,0.688,0.71,0.791,0.701,0.796,0.767
K3-g4-m0.0,0.454,0.797,GCN-statyczny,1,0.592,0.735,0.624,0.652,0.797,0.64,0.763,0.748
K3-g8-m0.0,0.454,0.797,GCN-statyczny,1,0.592,0.732,0.622,0.662,0.797,0.66,0.73,0.723
K5-g4-m0.0,0.669,0.798,temporalny-GNN,1,0.66,0.786,0.578,0.605,0.781,0.642,0.798,0.793
K5-g2-m0.3,0.677,0.804,temporalny-GNN,1,0.703,0.762,0.703,0.681,0.784,0.698,0.804,0.8
K8-g8-m0.0,0.816,0.81,COMPA,1,0.717,0.81,0.557,0.6,0.776,0.703,0.807,0.808
K5-g1-m0.3,0.677,0.814,temporalny-GNN,1,0.708,0.757,0.759,0.701,0.788,0.723,0.814,0.809
K8-g4-m0.0,0.816,0.814,temporalny-GNN-uwaga,1,0.716,0.813,0.558,0.599,0.776,0.715,0.812,0.814
K5-g2-m0.0,0.669,0.815,temporalny-GNN,1,0.649,0.782,0.714,0.631,0.781,0.678,0.815,0.814
K3-g2-m0.3,0.494,0.816,GCN-statyczny,1,0.662,0.711,0.733,0.722,0.816,0.688,0.786,0.766
K3-g8-m0.3,0.494,0.817,GCN-statyczny,1,0.679,0.713,0.673,0.705,0.817,0.668,0.75,0.731
K3-g1-m0.3,0.494,0.819,GCN-statyczny,1,0.674,0.715,0.805,0.777,0.819,0.77,0.799,0.805
K3-g2-m0.0,0.454,0.819,temporalny-GNN,1,0.594,0.733,0.766,0.695,0.8,0.714,0.819,0.814
K3-g4-m0.3,0.494,0.819,GCN-statyczny,1,0.671,0.717,0.675,0.713,0.819,0.68,0.768,0.758
K8-g8-m0.3,0.778,0.822,temporalny-GNN,1,0.749,0.813,0.667,0.673,0.809,0.734,0.822,0.813
K8-g4-m0.3,0.778,0.825,temporalny-GNN,1,0.748,0.807,0.658,0.677,0.808,0.73,0.825,0.824
K8-g2-m0.0,0.816,0.829,temporalny-GNN,1,0.721,0.817,0.686,0.604,0.776,0.721,0.829,0.826
K8-g2-m0.3,0.778,0.83,temporalny-GNN,1,0.749,0.814,0.71,0.673,0.81,0.737,0.83,0.819
