twin_a,twin_b,weight
twin-0001,twin-0002,1.0
twin-0001,twin-0003,1.0
twin-0001,twin-0004,1.0
twin-0001,twin-0005,1.0
twin-0001,twin-0006,1.0
twin-0001,twin-0007,1.0
twin-0001,twin-0008,1.0
twin-0001,twin-0009,1.0
twin-0001,twin-0144,1.0
twin-0002,twin-0003,1.0
twin-0002,twin-0004,1.0
twin-0002,twin-0005,1.0
twin-0002,twin-0006,1.0
twin-0002,twin-0007,1.0
twin-0002,twin-0008,1.0
twin-0003,twin-0004,1.0
twin-0003,twin-0005,1.0
twin-0003,twin-0006,1.0
twin-0003,twin-0007,1.0
twin-0003,twin-0008,1.0
twin-0004,twin-0005,1.0
twin-0004,twin-0006,1.0
twin-0004,twin-0007,1.0
twin-0004,twin-0008,1.0
twin-0004,twin-0012,1.0
twin-0004,twin-0147,1.0
twin-0005,twin-0006,1.0
twin-0005,twin-0007,1.0
twin-0005,twin-0008,1.0
twin-0006,twin-0007,1.0
twin-0006,twin-0008,1.0
twin-0007,twin-0008,1.0
twin-0009,twin-0010,1.0
twin-0009,twin-0011,1.0
twin-0009,twin-0012,1.0
twin-0009,twin-0013,1.0
twin-0009,twin-0014,1.0
twin-0009,twin-0015,1.0
twin-0009,twin-0016,1.0
twin-0009,twin-0017,1.0
twin-0010,twin-0011,1.0
twin-0010,twin-0012,1.0
twin-0010,twin-0013,1.0
twin-0010,twin-0014,1.0
twin-0010,twin-0015,1.0
twin-0010,twin-0016,1.0
twin-0011,twin-0012,1.0
twin-0011,twin-0013,1.0
twin-0011,twin-0014,1.0
twin-0011,twin-0015,1.0
twin-0011,twin-0016,1.0
twin-0012,twin-0013,1.0
twin-0012,twin-0014,1.0
twin-0012,twin-0015,1.0
twin-0012,twin-0016,1.0
twin-0012,twin-0020,1.0
twin-0013,twin-0014,1.0
twin-0013,twin-0015,1.0
twin-0013,twin-0016,1.0
twin-0014,twin-0015,1.0
twin-0014,twin-0016,1.0
twin-0015,twin-0016,1.0
twin-0017,twin-0018,1.0
twin-0017,twin-0019,1.0
twin-0017,twin-0020,1.0
twin-0017,twin-0021,1.0
twin-0017,twin-0022,1.0
twin-0017,twin-0023,1.0
twin-0017,twin-0024,1.0
twin-0017,twin-0025,1.0
twin-0018,twin-0019,1.0
twin-0018,twin-0020,1.0
twin-0018,twin-0021,1.0
twin-0018,twin-0022,1.0
twin-0018,twin-0023,1.0
twin-0018,twin-0024,1.0
twin-0019,twin-0020,1.0
twin-0019,twin-0021,1.0
twin-0019,twin-0022,1.0
twin-0019,twin-0023,1.0
twin-0019,twin-0024,1.0
twin-0020,twin-0021,1.0
twin-0020,twin-0022,1.0
twin-0020,twin-0023,1.0
twin-0020,twin-0024,1.0
twin-0020,twin-0028,1.0
twin-0021,twin-0022,1.0
twin-0021,twin-0023,1.0
twin-0021,twin-0024,1.0
twin-0022,twin-0023,1.0
twin-0022,twin-0024,1.0
twin-0023,twin-0024,1.0
twin-0025,twin-0026,1.0
twin-0025,twin-0027,1.0
twin-0025,twin-0028,1.0
twin-0025,twin-0029,1.0
twin-0025,twin-0030,1.0
twin-0025,twin-0031,1.0
twin-0025,twin-0032,1.0
twin-0025,twin-0033,1.0
twin-0026,twin-0027,1.0
twin-0026,twin-0028,1.0
twin-0026,twin-0029,1.0
twin-0026,twin-0030,1.0
twin-0026,twin-0031,1.0
twin-0026,twin-0032,1.0
twin-0027,twin-0028,1.0
twin-0027,twin-0029,1.0
twin-0027,twin-0030,1.0
twin-0027,twin-0031,1.0
twin-0027,twin-0032,1.0
twin-0028,twin-0029,1.0
twin-0028,twin-0030,1.0
twin-0028,twin-0031,1.0
twin-0028,twin-0032,1.0
twin-0028,twin-0036,1.0
twin-0029,twin-0030,1.0
twin-0029,twin-0031,1.0
twin-0029,twin-0032,1.0
twin-0030,twin-0031,1.0
twin-0030,twin-0032,1.0
twin-0031,twin-0032,1.0
twin-0033,twin-0034,1.0
twin-0033,twin-0035,1.0
twin-0033,twin-0036,1.0
twin-0033,twin-0037,1.0
twin-0033,twin-0038,1.0
twin-0033,twin-0039,1.0
twin-0033,twin-0040,1.0
twin-0033,twin-0041,1.0
twin-0034,twin-0035,1.0
twin-0034,twin-0036,1.0
twin-0034,twin-0037,1.0
twin-0034,twin-0038,1.0
twin-0034,twin-0039,1.0
twin-0034,twin-0040,1.0
twin-0035,twin-0036,1.0
twin-0035,twin-0037,1.0
twin-0035,twin-0038,1.0
twin-0035,twin-0039,1.0
twin-0035,twin-0040,1.0
twin-0036,twin-0037,1.0
twin-0036,twin-0038,1.0
twin-0036,twin-0039,1.0
twin-0036,twin-0040,1.0
twin-0036,twin-0044,1.0
twin-0037,twin-0038,1.0
twin-0037,twin-0039,1.0
twin-0037,twin-0040,1.0
twin-0038,twin-0039,1.0
twin-0038,twin-0040,1.0
twin-0039,twin-0040,1.0
twin-0041,twin-0042,1.0
twin-0041,twin-0043,1.0
twin-0041,twin-0044,1.0
twin-0041,twin-0045,1.0
twin-0041,twin-0046,1.0
twin-0041,twin-0047,1.0
twin-0041,twin-0048,1.0
twin-0041,twin-0049,1.0
twin-0042,twin-0043,1.0
twin-0042,twin-0044,1.0
twin-0042,twin-0045,1.0
twin-0042,twin-0046,1.0
twin-0042,twin-0047,1.0
twin-0042,twin-0048,1.0
twin-0043,twin-0044,1.0
twin-0043,twin-0045,1.0
twin-0043,twin-0046,1.0
twin-0043,twin-0047,1.0
twin-0043,twin-0048,1.0
twin-0044,twin-0045,1.0
twin-0044,twin-0046,1.0
twin-0044,twin-0047,1.0
twin-0044,twin-0048,1.0
twin-0044,twin-0052,1.0
twin-0045,twin-0046,1.0
twin-0045,twin-0047,1.0
twin-0045,twin-0048,1.0
twin-0046,twin-0047,1.0
twin-0046,twin-0048,1.0
twin-0047,twin-0048,1.0
twin-0049,twin-0050,1.0
twin-0049,twin-0051,1.0
twin-0049,twin-0052,1.0
twin-0049,twin-0053,1.0
twin-0049,twin-0054,1.0
twin-0049,twin-0055,1.0
twin-0049,twin-0056,1.0
