layer_a,layer_b,jaccard_edges
contact,org_hierarchy,0.932
contact,shared_domain,0.903
contact,osint_oss,0.005
contact,osint_publication,0.014
contact,osint_conference,0.273
contact,osint_certification,0.161
contact,osint_skill,0.137
contact,osint_routine,0.095
contact,osint_event,0.082
contact,osint_pretext,0.047
contact,osint_platform,0.067
contact,interest_sim,0.084
org_hierarchy,shared_domain,0.963
org_hierarchy,osint_oss,0.006
org_hierarchy,osint_publication,0.015
org_hierarchy,osint_conference,0.288
org_hierarchy,osint_certification,0.161
org_hierarchy,osint_skill,0.125
org_hierarchy,osint_routine,0.094
org_hierarchy,osint_event,0.085
org_hierarchy,osint_pretext,0.045
org_hierarchy,osint_platform,0.067
org_hierarchy,interest_sim,0.09
shared_domain,osint_oss,0.006
shared_domain,osint_publication,0.015
shared_domain,osint_conference,0.277
shared_domain,osint_certification,0.157
shared_domain,osint_skill,0.129
shared_domain,osint_routine,0.096
shared_domain,osint_event,0.082
shared_domain,osint_pretext,0.043
shared_domain,osint_platform,0.066
shared_domain,interest_sim,0.088
osint_oss,osint_publication,0.1
osint_oss,osint_conference,0.018
osint_oss,osint_certification,0.008
osint_oss,osint_skill,0.003
osint_oss,osint_routine,0.005
osint_oss,osint_event,0.015
osint_oss,osint_pretext,0.006
osint_oss,osint_platform,0.002
osint_oss,interest_sim,0.057
osint_publication,osint_conference,0.042
osint_publication,osint_certification,0.021
osint_publication,osint_skill,0.007
osint_publication,osint_routine,0.007
osint_publication,osint_event,0.044
osint_publication,osint_pretext,0.018
osint_publication,osint_platform,0.006
osint_publication,interest_sim,0.07
osint_conference,osint_certification,0.168
osint_conference,osint_skill,0.07
osint_conference,osint_routine,0.076
osint_conference,osint_event,0.107
osint_conference,osint_pretext,0.062
osint_conference,osint_platform,0.037
osint_conference,interest_sim,0.202
osint_certification,osint_skill,0.179
osint_certification,osint_routine,0.134
osint_certification,osint_event,0.081
osint_certification,osint_pretext,0.118
osint_certification,osint_platform,0.057
osint_certification,interest_sim,0.089
osint_skill,osint_routine,0.103
osint_skill,osint_event,0.047
osint_skill,osint_pretext,0.078
osint_skill,osint_platform,0.051
osint_skill,interest_sim,0.039
osint_routine,osint_event,0.068
osint_routine,osint_pretext,0.053
osint_routine,osint_platform,0.04
osint_routine,interest_sim,0.044
osint_event,osint_pretext,0.062
osint_event,osint_platform,0.023
osint_event,interest_sim,0.113
osint_pretext,osint_platform,0.013
osint_pretext,interest_sim,0.055
osint_platform,interest_sim,0.014
