twin_a,twin_b,layer,weight
twin-0001,twin-0002,contact,1.0
twin-0001,twin-0003,contact,1.0
twin-0001,twin-0004,contact,1.0
twin-0001,twin-0005,contact,1.0
twin-0001,twin-0006,contact,1.0
twin-0001,twin-0007,contact,1.0
twin-0001,twin-0008,contact,1.0
twin-0001,twin-0009,contact,1.0
twin-0001,twin-0144,contact,1.0
twin-0002,twin-0003,contact,1.0
twin-0002,twin-0004,contact,1.0
twin-0002,twin-0005,contact,1.0
twin-0002,twin-0006,contact,1.0
twin-0002,twin-0007,contact,1.0
twin-0002,twin-0008,contact,1.0
twin-0003,twin-0004,contact,1.0
twin-0003,twin-0005,contact,1.0
twin-0003,twin-0006,contact,1.0
twin-0003,twin-0007,contact,1.0
twin-0003,twin-0008,contact,1.0
twin-0004,twin-0005,contact,1.0
twin-0004,twin-0006,contact,1.0
twin-0004,twin-0007,contact,1.0
twin-0004,twin-0008,contact,1.0
twin-0004,twin-0012,contact,1.0
twin-0004,twin-0147,contact,1.0
twin-0005,twin-0006,contact,1.0
twin-0005,twin-0007,contact,1.0
twin-0005,twin-0008,contact,1.0
twin-0006,twin-0007,contact,1.0
twin-0006,twin-0008,contact,1.0
twin-0007,twin-0008,contact,1.0
twin-0009,twin-0010,contact,1.0
twin-0009,twin-0011,contact,1.0
twin-0009,twin-0012,contact,1.0
twin-0009,twin-0013,contact,1.0
twin-0009,twin-0014,contact,1.0
twin-0009,twin-0015,contact,1.0
twin-0009,twin-0016,contact,1.0
twin-0009,twin-0017,contact,1.0
twin-0010,twin-0011,contact,1.0
twin-0010,twin-0012,contact,1.0
twin-0010,twin-0013,contact,1.0
twin-0010,twin-0014,contact,1.0
twin-0010,twin-0015,contact,1.0
twin-0010,twin-0016,contact,1.0
twin-0011,twin-0012,contact,1.0
twin-0011,twin-0013,contact,1.0
twin-0011,twin-0014,contact,1.0
twin-0011,twin-0015,contact,1.0
twin-0011,twin-0016,contact,1.0
twin-0012,twin-0013,contact,1.0
twin-0012,twin-0014,contact,1.0
twin-0012,twin-0015,contact,1.0
twin-0012,twin-0016,contact,1.0
twin-0012,twin-0020,contact,1.0
twin-0013,twin-0014,contact,1.0
twin-0013,twin-0015,contact,1.0
twin-0013,twin-0016,contact,1.0
twin-0014,twin-0015,contact,1.0
twin-0014,twin-0016,contact,1.0
twin-0015,twin-0016,contact,1.0
twin-0017,twin-0018,contact,1.0
twin-0017,twin-0019,contact,1.0
twin-0017,twin-0020,contact,1.0
twin-0017,twin-0021,contact,1.0
twin-0017,twin-0022,contact,1.0
twin-0017,twin-0023,contact,1.0
twin-0017,twin-0024,contact,1.0
twin-0017,twin-0025,contact,1.0
twin-0018,twin-0019,contact,1.0
twin-0018,twin-0020,contact,1.0
twin-0018,twin-0021,contact,1.0
twin-0018,twin-0022,contact,1.0
twin-0018,twin-0023,contact,1.0
twin-0018,twin-0024,contact,1.0
twin-0019,twin-0020,contact,1.0
twin-0019,twin-0021,contact,1.0
twin-0019,twin-0022,contact,1.0
twin-0019,twin-0023,contact,1.0
twin-0019,twin-0024,contact,1.0
twin-0020,twin-0021,contact,1.0
twin-0020,twin-0022,contact,1.0
twin-0020,twin-0023,contact,1.0
twin-0020,twin-0024,contact,1.0
twin-0020,twin-0028,contact,1.0
twin-0021,twin-0022,contact,1.0
twin-0021,twin-0023,contact,1.0
twin-0021,twin-0024,contact,1.0
twin-0022,twin-0023,contact,1.0
twin-0022,twin-0024,contact,1.0
twin-0023,twin-0024,contact,1.0
twin-0025,twin-0026,contact,1.0
twin-0025,twin-0027,contact,1.0
twin-0025,twin-0028,contact,1.0
twin-0025,twin-0029,contact,1.0
twin-0025,twin-0030,contact,1.0
twin-0025,twin-0031,contact,1.0
twin-0025,twin-0032,contact,1.0
twin-0025,twin-0033,contact,1.0
twin-0026,twin-0027,contact,1.0
twin-0026,twin-0028,contact,1.0
twin-0026,twin-0029,contact,1.0
twin-0026,twin-0030,contact,1.0
twin-0026,twin-0031,contact,1.0
twin-0026,twin-0032,contact,1.0
twin-0027,twin-0028,contact,1.0
twin-0027,twin-0029,contact,1.0
twin-0027,twin-0030,contact,1.0
twin-0027,twin-0031,contact,1.0
twin-0027,twin-0032,contact,1.0
twin-0028,twin-0029,contact,1.0
twin-0028,twin-0030,contact,1.0
twin-0028,twin-0031,contact,1.0
twin-0028,twin-0032,contact,1.0
twin-0028,twin-0036,contact,1.0
twin-0029,twin-0030,contact,1.0
twin-0029,twin-0031,contact,1.0
twin-0029,twin-0032,contact,1.0
twin-0030,twin-0031,contact,1.0
twin-0030,twin-0032,contact,1.0
twin-0031,twin-0032,contact,1.0
twin-0033,twin-0034,contact,1.0
twin-0033,twin-0035,contact,1.0
twin-0033,twin-0036,contact,1.0
twin-0033,twin-0037,contact,1.0
twin-0033,twin-0038,contact,1.0
twin-0033,twin-0039,contact,1.0
twin-0033,twin-0040,contact,1.0
twin-0033,twin-0041,contact,1.0
twin-0034,twin-0035,contact,1.0
twin-0034,twin-0036,contact,1.0
twin-0034,twin-0037,contact,1.0
twin-0034,twin-0038,contact,1.0
twin-0034,twin-0039,contact,1.0
twin-0034,twin-0040,contact,1.0
twin-0035,twin-0036,contact,1.0
twin-0035,twin-0037,contact,1.0
twin-0035,twin-0038,contact,1.0
twin-0035,twin-0039,contact,1.0
twin-0035,twin-0040,contact,1.0
twin-0036,twin-0037,contact,1.0
twin-0036,twin-0038,contact,1.0
twin-0036,twin-0039,contact,1.0
twin-0036,twin-0040,contact,1.0
twin-0036,twin-0044,contact,1.0
twin-0037,twin-0038,contact,1.0
twin-0037,twin-0039,contact,1.0
twin-0037,twin-0040,contact,1.0
twin-0038,twin-0039,contact,1.0
twin-0038,twin-0040,contact,1.0
twin-0039,twin-0040,contact,1.0
twin-0041,twin-0042,contact,1.0
twin-0041,twin-0043,contact,1.0
twin-0041,twin-0044,contact,1.0
twin-0041,twin-0045,contact,1.0
twin-0041,twin-0046,contact,1.0
twin-0041,twin-0047,contact,1.0
twin-0041,twin-0048,contact,1.0
twin-0041,twin-0049,contact,1.0
twin-0042,twin-0043,contact,1.0
twin-0042,twin-0044,contact,1.0
twin-0042,twin-0045,contact,1.0
twin-0042,twin-0046,contact,1.0
twin-0042,twin-0047,contact,1.0
twin-0042,twin-0048,contact,1.0
twin-0043,twin-0044,contact,1.0
twin-0043,twin-0045,contact,1.0
twin-0043,twin-0046,contact,1.0
twin-0043,twin-0047,contact,1.0
twin-0043,twin-0048,contact,1.0
twin-0044,twin-0045,contact,1.0
twin-0044,twin-0046,contact,1.0
twin-0044,twin-0047,contact,1.0
twin-0044,twin-0048,contact,1.0
twin-0044,twin-0052,contact,1.0
twin-0045,twin-0046,contact,1.0
twin-0045,twin-0047,contact,1.0
twin-0045,twin-0048,contact,1.0
twin-0046,twin-0047,contact,1.0
twin-0046,twin-0048,contact,1.0
twin-0047,twin-0048,contact,1.0
twin-0049,twin-0050,contact,1.0
twin-0049,twin-0051,contact,1.0
twin-0049,twin-0052,contact,1.0
twin-0049,twin-0053,contact,1.0
twin-0049,twin-0054,contact,1.0
twin-0049,twin-0055,contact,1.0
twin-0049,twin-0056,contact,1.0
twin-0049,twin-0057,contact,1.0
twin-0050,twin-0051,contact,1.0
twin-0050,twin-0052,contact,1.0
twin-0050,twin-0053,contact,1.0
twin-0050,twin-0054,contact,1.0
twin-0050,twin-0055,contact,1.0
twin-0050,twin-0056,contact,1.0
twin-0051,twin-0052,contact,1.0
twin-0051,twin-0053,contact,1.0
twin-0051,twin-0054,contact,1.0
twin-0051,twin-0055,contact,1.0
twin-0051,twin-0056,contact,1.0
twin-0052,twin-0053,contact,1.0
twin-0052,twin-0054,contact,1.0
twin-0052,twin-0055,contact,1.0
twin-0052,twin-0056,contact,1.0
twin-0052,twin-0060,contact,1.0
twin-0053,twin-0054,contact,1.0
twin-0053,twin-0055,contact,1.0
twin-0053,twin-0056,contact,1.0
twin-0054,twin-0055,contact,1.0
twin-0054,twin-0056,contact,1.0
twin-0055,twin-0056,contact,1.0
twin-0057,twin-0058,contact,1.0
twin-0057,twin-0059,contact,1.0
twin-0057,twin-0060,contact,1.0
twin-0057,twin-0061,contact,1.0
twin-0057,twin-0062,contact,1.0
twin-0057,twin-0063,contact,1.0
twin-0057,twin-0064,contact,1.0
twin-0057,twin-0065,contact,1.0
twin-0058,twin-0059,contact,1.0
twin-0058,twin-0060,contact,1.0
twin-0058,twin-0061,contact,1.0
twin-0058,twin-0062,contact,1.0
twin-0058,twin-0063,contact,1.0
twin-0058,twin-0064,contact,1.0
twin-0059,twin-0060,contact,1.0
twin-0059,twin-0061,contact,1.0
twin-0059,twin-0062,contact,1.0
twin-0059,twin-0063,contact,1.0
twin-0059,twin-0064,contact,1.0
twin-0060,twin-0061,contact,1.0
twin-0060,twin-0062,contact,1.0
twin-0060,twin-0063,contact,1.0
twin-0060,twin-0064,contact,1.0
twin-0060,twin-0068,contact,1.0
twin-0061,twin-0062,contact,1.0
twin-0061,twin-0063,contact,1.0
twin-0061,twin-0064,contact,1.0
twin-0062,twin-0063,contact,1.0
twin-0062,twin-0064,contact,1.0
twin-0063,twin-0064,contact,1.0
twin-0065,twin-0066,contact,1.0
twin-0065,twin-0067,contact,1.0
twin-0065,twin-0068,contact,1.0
twin-0065,twin-0069,contact,1.0
twin-0065,twin-0070,contact,1.0
twin-0065,twin-0071,contact,1.0
twin-0065,twin-0072,contact,1.0
twin-0065,twin-0073,contact,1.0
twin-0066,twin-0067,contact,1.0
twin-0066,twin-0068,contact,1.0
twin-0066,twin-0069,contact,1.0
twin-0066,twin-0070,contact,1.0
twin-0066,twin-0071,contact,1.0
twin-0066,twin-0072,contact,1.0
twin-0067,twin-0068,contact,1.0
twin-0067,twin-0069,contact,1.0
twin-0067,twin-0070,contact,1.0
twin-0067,twin-0071,contact,1.0
twin-0067,twin-0072,contact,1.0
twin-0068,twin-0069,contact,1.0
twin-0068,twin-0070,contact,1.0
twin-0068,twin-0071,contact,1.0
twin-0068,twin-0072,contact,1.0
twin-0068,twin-0076,contact,1.0
twin-0069,twin-0070,contact,1.0
twin-0069,twin-0071,contact,1.0
twin-0069,twin-0072,contact,1.0
twin-0070,twin-0071,contact,1.0
twin-0070,twin-0072,contact,1.0
twin-0071,twin-0072,contact,1.0
twin-0073,twin-0074,contact,1.0
twin-0073,twin-0075,contact,1.0
twin-0073,twin-0076,contact,1.0
twin-0073,twin-0077,contact,1.0
twin-0073,twin-0078,contact,1.0
twin-0073,twin-0079,contact,1.0
twin-0073,twin-0080,contact,1.0
twin-0073,twin-0081,contact,1.0
twin-0074,twin-0075,contact,1.0
twin-0074,twin-0076,contact,1.0
twin-0074,twin-0077,contact,1.0
twin-0074,twin-0078,contact,1.0
twin-0074,twin-0079,contact,1.0
twin-0074,twin-0080,contact,1.0
twin-0075,twin-0076,contact,1.0
twin-0075,twin-0077,contact,1.0
twin-0075,twin-0078,contact,1.0
twin-0075,twin-0079,contact,1.0
twin-0075,twin-0080,contact,1.0
twin-0076,twin-0077,contact,1.0
twin-0076,twin-0078,contact,1.0
twin-0076,twin-0079,contact,1.0
twin-0076,twin-0080,contact,1.0
