twin_a,twin_b,weight
twin-0001,twin-0002,0.9
twin-0001,twin-0003,0.9
twin-0001,twin-0004,0.9
twin-0001,twin-0005,0.9
twin-0001,twin-0006,0.9
twin-0001,twin-0007,0.9
twin-0001,twin-0008,0.9
twin-0002,twin-0003,0.9
twin-0002,twin-0004,0.9
twin-0002,twin-0005,0.9
twin-0002,twin-0006,0.9
twin-0002,twin-0007,0.9
twin-0002,twin-0008,0.9
twin-0003,twin-0004,0.9
twin-0003,twin-0005,0.9
twin-0003,twin-0006,0.9
twin-0003,twin-0007,0.9
twin-0003,twin-0008,0.9
twin-0004,twin-0005,0.9
twin-0004,twin-0006,0.9
twin-0004,twin-0007,0.9
twin-0004,twin-0008,0.9
twin-0005,twin-0006,0.9
twin-0005,twin-0007,0.9
twin-0005,twin-0008,0.9
twin-0006,twin-0007,0.9
twin-0006,twin-0008,0.9
twin-0007,twin-0008,0.9
twin-0009,twin-0010,0.9
twin-0009,twin-0011,0.9
twin-0009,twin-0012,0.9
twin-0009,twin-0013,0.9
twin-0009,twin-0014,0.9
twin-0009,twin-0015,0.9
twin-0009,twin-0016,0.9
twin-0010,twin-0011,0.9
twin-0010,twin-0012,0.9
twin-0010,twin-0013,0.9
twin-0010,twin-0014,0.9
twin-0010,twin-0015,0.9
twin-0010,twin-0016,0.9
twin-0011,twin-0012,0.9
twin-0011,twin-0013,0.9
twin-0011,twin-0014,0.9
twin-0011,twin-0015,0.9
twin-0011,twin-0016,0.9
twin-0012,twin-0013,0.9
twin-0012,twin-0014,0.9
twin-0012,twin-0015,0.9
twin-0012,twin-0016,0.9
twin-0013,twin-0014,0.9
twin-0013,twin-0015,0.9
twin-0013,twin-0016,0.9
twin-0014,twin-0015,0.9
twin-0014,twin-0016,0.9
twin-0015,twin-0016,0.9
twin-0017,twin-0018,0.9
twin-0017,twin-0019,0.9
twin-0017,twin-0020,0.9
twin-0017,twin-0021,0.9
twin-0017,twin-0022,0.9
twin-0017,twin-0023,0.9
twin-0017,twin-0024,0.9
twin-0018,twin-0019,0.9
twin-0018,twin-0020,0.9
twin-0018,twin-0021,0.9
twin-0018,twin-0022,0.9
twin-0018,twin-0023,0.9
twin-0018,twin-0024,0.9
twin-0019,twin-0020,0.9
twin-0019,twin-0021,0.9
twin-0019,twin-0022,0.9
twin-0019,twin-0023,0.9
twin-0019,twin-0024,0.9
twin-0020,twin-0021,0.9
twin-0020,twin-0022,0.9
twin-0020,twin-0023,0.9
twin-0020,twin-0024,0.9
twin-0021,twin-0022,0.9
twin-0021,twin-0023,0.9
twin-0021,twin-0024,0.9
twin-0022,twin-0023,0.9
twin-0022,twin-0024,0.9
twin-0023,twin-0024,0.9
twin-0025,twin-0026,0.9
twin-0025,twin-0027,0.9
twin-0025,twin-0028,0.9
twin-0025,twin-0029,0.9
twin-0025,twin-0030,0.9
twin-0025,twin-0031,0.9
twin-0025,twin-0032,0.9
twin-0026,twin-0027,0.9
twin-0026,twin-0028,0.9
twin-0026,twin-0029,0.9
twin-0026,twin-0030,0.9
twin-0026,twin-0031,0.9
twin-0026,twin-0032,0.9
twin-0027,twin-0028,0.9
twin-0027,twin-0029,0.9
twin-0027,twin-0030,0.9
twin-0027,twin-0031,0.9
twin-0027,twin-0032,0.9
twin-0028,twin-0029,0.9
twin-0028,twin-0030,0.9
twin-0028,twin-0031,0.9
twin-0028,twin-0032,0.9
twin-0029,twin-0030,0.9
twin-0029,twin-0031,0.9
twin-0029,twin-0032,0.9
twin-0030,twin-0031,0.9
twin-0030,twin-0032,0.9
twin-0031,twin-0032,0.9
twin-0033,twin-0034,0.9
twin-0033,twin-0035,0.9
twin-0033,twin-0036,0.9
twin-0033,twin-0037,0.9
twin-0033,twin-0038,0.9
twin-0033,twin-0039,0.9
twin-0033,twin-0040,0.9
twin-0034,twin-0035,0.9
twin-0034,twin-0036,0.9
twin-0034,twin-0037,0.9
twin-0034,twin-0038,0.9
twin-0034,twin-0039,0.9
twin-0034,twin-0040,0.9
twin-0035,twin-0036,0.9
twin-0035,twin-0037,0.9
twin-0035,twin-0038,0.9
twin-0035,twin-0039,0.9
twin-0035,twin-0040,0.9
twin-0036,twin-0037,0.9
twin-0036,twin-0038,0.9
twin-0036,twin-0039,0.9
twin-0036,twin-0040,0.9
twin-0037,twin-0038,0.9
twin-0037,twin-0039,0.9
twin-0037,twin-0040,0.9
twin-0038,twin-0039,0.9
twin-0038,twin-0040,0.9
twin-0039,twin-0040,0.9
twin-0041,twin-0042,0.9
twin-0041,twin-0043,0.9
twin-0041,twin-0044,0.9
twin-0041,twin-0045,0.9
twin-0041,twin-0046,0.9
twin-0041,twin-0047,0.9
twin-0041,twin-0048,0.9
twin-0042,twin-0043,0.9
twin-0042,twin-0044,0.9
twin-0042,twin-0045,0.9
twin-0042,twin-0046,0.9
twin-0042,twin-0047,0.9
twin-0042,twin-0048,0.9
twin-0043,twin-0044,0.9
twin-0043,twin-0045,0.9
twin-0043,twin-0046,0.9
twin-0043,twin-0047,0.9
twin-0043,twin-0048,0.9
twin-0044,twin-0045,0.9
twin-0044,twin-0046,0.9
twin-0044,twin-0047,0.9
twin-0044,twin-0048,0.9
twin-0045,twin-0046,0.9
twin-0045,twin-0047,0.9
twin-0045,twin-0048,0.9
twin-0046,twin-0047,0.9
twin-0046,twin-0048,0.9
twin-0047,twin-0048,0.9
twin-0049,twin-0050,0.9
twin-0049,twin-0051,0.9
twin-0049,twin-0052,0.9
twin-0049,twin-0053,0.9
twin-0049,twin-0054,0.9
twin-0049,twin-0055,0.9
twin-0049,twin-0056,0.9
twin-0050,twin-0051,0.9
twin-0050,twin-0052,0.9
twin-0050,twin-0053,0.9
twin-0050,twin-0054,0.9
twin-0050,twin-0055,0.9
twin-0050,twin-0056,0.9
twin-0051,twin-0052,0.9
twin-0051,twin-0053,0.9
twin-0051,twin-0054,0.9
twin-0051,twin-0055,0.9
twin-0051,twin-0056,0.9
twin-0052,twin-0053,0.9
twin-0052,twin-0054,0.9
twin-0052,twin-0055,0.9
twin-0052,twin-0056,0.9
twin-0053,twin-0054,0.9
twin-0053,twin-0055,0.9
twin-0053,twin-0056,0.9
twin-0054,twin-0055,0.9
twin-0054,twin-0056,0.9
twin-0055,twin-0056,0.9
twin-0057,twin-0058,0.9
twin-0057,twin-0059,0.9
twin-0057,twin-0060,0.9
twin-0057,twin-0061,0.9
twin-0057,twin-0062,0.9
twin-0057,twin-0063,0.9
twin-0057,twin-0064,0.9
twin-0058,twin-0059,0.9
twin-0058,twin-0060,0.9
twin-0058,twin-0061,0.9
twin-0058,twin-0062,0.9
twin-0058,twin-0063,0.9
twin-0058,twin-0064,0.9
twin-0059,twin-0060,0.9
twin-0059,twin-0061,0.9
twin-0059,twin-0062,0.9
twin-0059,twin-0063,0.9
twin-0059,twin-0064,0.9
twin-0060,twin-0061,0.9
twin-0060,twin-0062,0.9
twin-0060,twin-0063,0.9
twin-0060,twin-0064,0.9
twin-0061,twin-0062,0.9
twin-0061,twin-0063,0.9
twin-0061,twin-0064,0.9
twin-0062,twin-0063,0.9
twin-0062,twin-0064,0.9
twin-0063,twin-0064,0.9
twin-0065,twin-0066,0.9
twin-0065,twin-0067,0.9
twin-0065,twin-0068,0.9
twin-0065,twin-0069,0.9
twin-0065,twin-0070,0.9
twin-0065,twin-0071,0.9
twin-0065,twin-0072,0.9
twin-0066,twin-0067,0.9
twin-0066,twin-0068,0.9
twin-0066,twin-0069,0.9
twin-0066,twin-0070,0.9
twin-0066,twin-0071,0.9
twin-0066,twin-0072,0.9
twin-0067,twin-0068,0.9
twin-0067,twin-0069,0.9
twin-0067,twin-0070,0.9
twin-0067,twin-0071,0.9
twin-0067,twin-0072,0.9
twin-0068,twin-0069,0.9
twin-0068,twin-0070,0.9
twin-0068,twin-0071,0.9
twin-0068,twin-0072,0.9
twin-0069,twin-0070,0.9
twin-0069,twin-0071,0.9
twin-0069,twin-0072,0.9
twin-0070,twin-0071,0.9
twin-0070,twin-0072,0.9
twin-0071,twin-0072,0.9
twin-0073,twin-0074,0.9
twin-0073,twin-0075,0.9
twin-0073,twin-0076,0.9
twin-0073,twin-0077,0.9
twin-0073,twin-0078,0.9
twin-0073,twin-0079,0.9
twin-0073,twin-0080,0.9
twin-0074,twin-0075,0.9
twin-0074,twin-0076,0.9
twin-0074,twin-0077,0.9
twin-0074,twin-0078,0.9
twin-0074,twin-0079,0.9
twin-0074,twin-0080,0.9
twin-0075,twin-0076,0.9
twin-0075,twin-0077,0.9
twin-0075,twin-0078,0.9
twin-0075,twin-0079,0.9
twin-0075,twin-0080,0.9
twin-0076,twin-0077,0.9
twin-0076,twin-0078,0.9
twin-0076,twin-0079,0.9
twin-0076,twin-0080,0.9
twin-0077,twin-0078,0.9
twin-0077,twin-0079,0.9
twin-0077,twin-0080,0.9
twin-0078,twin-0079,0.9
twin-0078,twin-0080,0.9
twin-0079,twin-0080,0.9
twin-0081,twin-0082,0.9
twin-0081,twin-0083,0.9
twin-0081,twin-0084,0.9
twin-0081,twin-0085,0.9
twin-0081,twin-0086,0.9
twin-0081,twin-0087,0.9
twin-0081,twin-0088,0.9
twin-0082,twin-0083,0.9
twin-0082,twin-0084,0.9
twin-0082,twin-0085,0.9
twin-0082,twin-0086,0.9
twin-0082,twin-0087,0.9
twin-0082,twin-0088,0.9
twin-0083,twin-0084,0.9
twin-0083,twin-0085,0.9
twin-0083,twin-0086,0.9
twin-0083,twin-0087,0.9
twin-0083,twin-0088,0.9
twin-0084,twin-0085,0.9
twin-0084,twin-0086,0.9
twin-0084,twin-0087,0.9
twin-0084,twin-0088,0.9
twin-0085,twin-0086,0.9
twin-0085,twin-0087,0.9
twin-0085,twin-0088,0.9
twin-0086,twin-0087,0.9
twin-0086,twin-0088,0.9
twin-0087,twin-0088,0.9
twin-0089,twin-0090,0.9
twin-0089,twin-0091,0.9
twin-0089,twin-0092,0.9
twin-0089,twin-0093,0.9
twin-0089,twin-0094,0.9
twin-0089,twin-0095,0.9
twin-0089,twin-0096,0.9
twin-0090,twin-0091,0.9
twin-0090,twin-0092,0.9
twin-0090,twin-0093,0.9
twin-0090,twin-0094,0.9
twin-0090,twin-0095,0.9
twin-0090,twin-0096,0.9
twin-0091,twin-0092,0.9
twin-0091,twin-0093,0.9
twin-0091,twin-0094,0.9
twin-0091,twin-0095,0.9
twin-0091,twin-0096,0.9
twin-0092,twin-0093,0.9
twin-0092,twin-0094,0.9
twin-0092,twin-0095,0.9
twin-0092,twin-0096,0.9
twin-0093,twin-0094,0.9
twin-0093,twin-0095,0.9
twin-0093,twin-0096,0.9
twin-0094,twin-0095,0.9
twin-0094,twin-0096,0.9
twin-0095,twin-0096,0.9
twin-0097,twin-0098,0.9
twin-0097,twin-0099,0.9
twin-0097,twin-0100,0.9
twin-0097,twin-0101,0.9
twin-0097,twin-0102,0.9
twin-0097,twin-0103,0.9
twin-0097,twin-0104,0.9
twin-0098,twin-0099,0.9
twin-0098,twin-0100,0.9
twin-0098,twin-0101,0.9
twin-0098,twin-0102,0.9
twin-0098,twin-0103,0.9
twin-0098,twin-0104,0.9
twin-0099,twin-0100,0.9
twin-0099,twin-0101,0.9
twin-0099,twin-0102,0.9
twin-0099,twin-0103,0.9
twin-0099,twin-0104,0.9
twin-0100,twin-0101,0.9
twin-0100,twin-0102,0.9
twin-0100,twin-0103,0.9
twin-0100,twin-0104,0.9
twin-0101,twin-0102,0.9
twin-0101,twin-0103,0.9
twin-0101,twin-0104,0.9
twin-0102,twin-0103,0.9
twin-0102,twin-0104,0.9
twin-0103,twin-0104,0.9
twin-0105,twin-0106,0.9
twin-0105,twin-0107,0.9
twin-0105,twin-0108,0.9
twin-0105,twin-0109,0.9
twin-0105,twin-0110,0.9
twin-0105,twin-0111,0.9
twin-0105,twin-0112,0.9
twin-0106,twin-0107,0.9
twin-0106,twin-0108,0.9
twin-0106,twin-0109,0.9
twin-0106,twin-0110,0.9
twin-0106,twin-0111,0.9
twin-0106,twin-0112,0.9
twin-0107,twin-0108,0.9
twin-0107,twin-0109,0.9
twin-0107,twin-0110,0.9
twin-0107,twin-0111,0.9
twin-0107,twin-0112,0.9
twin-0108,twin-0109,0.9
twin-0108,twin-0110,0.9
twin-0108,twin-0111,0.9
twin-0108,twin-0112,0.9
twin-0109,twin-0110,0.9
twin-0109,twin-0111,0.9
twin-0109,twin-0112,0.9
twin-0110,twin-0111,0.9
twin-0110,twin-0112,0.9
twin-0111,twin-0112,0.9
twin-0113,twin-0114,0.9
twin-0113,twin-0115,0.9
twin-0113,twin-0116,0.9
twin-0113,twin-0117,0.9
twin-0113,twin-0118,0.9
twin-0113,twin-0119,0.9
twin-0113,twin-0120,0.9
twin-0114,twin-0115,0.9
twin-0114,twin-0116,0.9
twin-0114,twin-0117,0.9
twin-0114,twin-0118,0.9
twin-0114,twin-0119,0.9
twin-0114,twin-0120,0.9
twin-0115,twin-0116,0.9
twin-0115,twin-0117,0.9
twin-0115,twin-0118,0.9
twin-0115,twin-0119,0.9
twin-0115,twin-0120,0.9
twin-0116,twin-0117,0.9
twin-0116,twin-0118,0.9
twin-0116,twin-0119,0.9
twin-0116,twin-0120,0.9
twin-0117,twin-0118,0.9
twin-0117,twin-0119,0.9
twin-0117,twin-0120,0.9
twin-0118,twin-0119,0.9
twin-0118,twin-0120,0.9
twin-0119,twin-0120,0.9
twin-0121,twin-0122,0.9
twin-0121,twin-0123,0.9
twin-0121,twin-0124,0.9
twin-0121,twin-0125,0.9
twin-0121,twin-0126,0.9
twin-0121,twin-0127,0.9
twin-0121,twin-0128,0.9
twin-0122,twin-0123,0.9
twin-0122,twin-0124,0.9
twin-0122,twin-0125,0.9
twin-0122,twin-0126,0.9
twin-0122,twin-0127,0.9
twin-0122,twin-0128,0.9
twin-0123,twin-0124,0.9
twin-0123,twin-0125,0.9
twin-0123,twin-0126,0.9
twin-0123,twin-0127,0.9
twin-0123,twin-0128,0.9
twin-0124,twin-0125,0.9
twin-0124,twin-0126,0.9
twin-0124,twin-0127,0.9
twin-0124,twin-0128,0.9
twin-0125,twin-0126,0.9
twin-0125,twin-0127,0.9
