twin_a,twin_b,weight
twin-0001,twin-0017,0.6
twin-0001,twin-0121,0.6
twin-0001,twin-0144,0.6
twin-0002,twin-0122,0.6
twin-0003,twin-0007,0.6
twin-0010,twin-0011,0.6
twin-0010,twin-0012,0.6
twin-0011,twin-0012,0.6
twin-0013,twin-0015,0.6
twin-0014,twin-0016,0.6
twin-0017,twin-0018,0.6
twin-0017,twin-0019,0.6
twin-0017,twin-0021,0.6
twin-0017,twin-0023,0.6
twin-0017,twin-0065,0.6
twin-0017,twin-0073,0.6
twin-0017,twin-0121,0.6
twin-0017,twin-0144,0.6
twin-0018,twin-0019,0.6
twin-0018,twin-0021,0.6
twin-0018,twin-0023,0.6
twin-0019,twin-0021,0.6
twin-0019,twin-0023,0.6
twin-0021,twin-0023,0.6
twin-0025,twin-0026,0.6
twin-0027,twin-0031,0.6
twin-0030,twin-0032,0.6
twin-0033,twin-0049,0.6
twin-0033,twin-0105,0.6
twin-0035,twin-0039,0.6
twin-0038,twin-0040,0.6
twin-0041,twin-0042,0.6
twin-0043,twin-0130,0.6
twin-0044,twin-0046,0.6
twin-0044,twin-0048,0.6
twin-0045,twin-0047,0.6
twin-0046,twin-0048,0.6
twin-0049,twin-0105,0.6
twin-0051,twin-0052,0.6
twin-0051,twin-0053,0.6
twin-0051,twin-0054,0.6
twin-0051,twin-0055,0.6
twin-0052,twin-0054,0.6
twin-0052,twin-0055,0.6
twin-0053,twin-0055,0.6
twin-0054,twin-0055,0.6
twin-0057,twin-0058,0.6
twin-0059,twin-0060,0.6
twin-0059,twin-0061,0.6
twin-0059,twin-0062,0.6
twin-0059,twin-0063,0.6
twin-0060,twin-0061,0.6
twin-0060,twin-0062,0.6
twin-0060,twin-0063,0.6
twin-0061,twin-0062,0.6
twin-0061,twin-0063,0.6
twin-0062,twin-0063,0.6
twin-0065,twin-0073,0.6
twin-0067,twin-0069,0.6
twin-0067,twin-0071,0.6
twin-0068,twin-0070,0.6
twin-0068,twin-0072,0.6
twin-0069,twin-0071,0.6
twin-0070,twin-0072,0.6
twin-0074,twin-0075,0.6
twin-0074,twin-0077,0.6
twin-0074,twin-0078,0.6
twin-0074,twin-0079,0.6
twin-0074,twin-0080,0.6
twin-0075,twin-0077,0.6
twin-0075,twin-0078,0.6
twin-0075,twin-0079,0.6
twin-0075,twin-0080,0.6
twin-0076,twin-0078,0.6
twin-0077,twin-0078,0.6
twin-0077,twin-0079,0.6
twin-0077,twin-0080,0.6
twin-0078,twin-0079,0.6
twin-0078,twin-0080,0.6
twin-0079,twin-0080,0.6
twin-0083,twin-0084,0.6
twin-0083,twin-0085,0.6
twin-0083,twin-0086,0.6
twin-0083,twin-0087,0.6
twin-0083,twin-0088,0.6
twin-0084,twin-0085,0.6
twin-0084,twin-0086,0.6
twin-0084,twin-0087,0.6
twin-0084,twin-0088,0.6
twin-0085,twin-0086,0.6
twin-0085,twin-0087,0.6
twin-0085,twin-0088,0.6
twin-0086,twin-0087,0.6
twin-0086,twin-0088,0.6
twin-0087,twin-0088,0.6
twin-0090,twin-0091,0.6
twin-0090,twin-0093,0.6
twin-0090,twin-0095,0.6
twin-0091,twin-0093,0.6
twin-0091,twin-0095,0.6
twin-0093,twin-0095,0.6
twin-0094,twin-0096,0.6
twin-0098,twin-0099,0.6
twin-0098,twin-0100,0.6
twin-0098,twin-0101,0.6
twin-0098,twin-0103,0.6
twin-0098,twin-0104,0.6
twin-0099,twin-0100,0.6
twin-0099,twin-0101,0.6
twin-0099,twin-0103,0.6
twin-0099,twin-0104,0.6
twin-0100,twin-0101,0.6
twin-0100,twin-0103,0.6
twin-0100,twin-0104,0.6
twin-0101,twin-0103,0.6
twin-0101,twin-0104,0.6
twin-0103,twin-0104,0.6
twin-0106,twin-0109,0.6
twin-0106,twin-0110,0.6
twin-0106,twin-0111,0.6
twin-0106,twin-0112,0.6
twin-0107,twin-0108,0.6
twin-0107,twin-0109,0.6
twin-0107,twin-0111,0.6
twin-0109,twin-0110,0.6
twin-0109,twin-0111,0.6
twin-0109,twin-0112,0.6
twin-0110,twin-0111,0.6
twin-0110,twin-0112,0.6
twin-0111,twin-0112,0.6
twin-0116,twin-0120,0.6
twin-0117,twin-0119,0.6
twin-0121,twin-0144,0.6
twin-0122,twin-0126,0.6
twin-0122,twin-0128,0.6
twin-0123,twin-0125,0.6
twin-0123,twin-0127,0.6
twin-0125,twin-0127,0.6
twin-0126,twin-0128,0.6
twin-0130,twin-0131,0.6
twin-0130,twin-0132,0.6
twin-0130,twin-0133,0.6
twin-0130,twin-0134,0.6
twin-0130,twin-0135,0.6
twin-0130,twin-0136,0.6
twin-0131,twin-0132,0.6
twin-0131,twin-0133,0.6
twin-0131,twin-0134,0.6
twin-0131,twin-0135,0.6
twin-0131,twin-0136,0.6
twin-0132,twin-0133,0.6
twin-0132,twin-0134,0.6
twin-0132,twin-0135,0.6
twin-0132,twin-0136,0.6
twin-0133,twin-0134,0.6
twin-0133,twin-0135,0.6
twin-0133,twin-0136,0.6
twin-0134,twin-0135,0.6
twin-0134,twin-0136,0.6
twin-0135,twin-0136,0.6
twin-0141,twin-0143,0.6
twin-0145,twin-0146,0.6
twin-0145,twin-0148,0.6
twin-0145,twin-0150,0.6
twin-0146,twin-0148,0.6
twin-0146,twin-0150,0.6
twin-0148,twin-0150,0.6
