twin_a,twin_b,weight
twin-0002,twin-0074,0.4
twin-0002,twin-0097,0.4
twin-0004,twin-0064,0.4
twin-0006,twin-0008,0.4
twin-0006,twin-0050,0.4
twin-0008,twin-0015,0.4
twin-0008,twin-0054,0.4
twin-0014,twin-0016,0.4
twin-0014,twin-0096,0.4
twin-0015,twin-0054,0.4
twin-0016,twin-0096,0.4
twin-0017,twin-0121,0.4
twin-0018,twin-0122,0.4
twin-0019,twin-0021,0.4
twin-0019,twin-0022,0.4
twin-0019,twin-0023,0.4
twin-0020,twin-0022,0.4
twin-0020,twin-0024,0.4
twin-0020,twin-0045,0.4
twin-0020,twin-0070,0.4
twin-0021,twin-0022,0.4
twin-0021,twin-0023,0.4
twin-0022,twin-0023,0.4
twin-0022,twin-0024,0.4
twin-0022,twin-0045,0.4
twin-0024,twin-0045,0.4
twin-0024,twin-0070,0.4
twin-0030,twin-0032,0.4
twin-0034,twin-0042,0.4
twin-0034,twin-0082,0.4
twin-0034,twin-0106,0.4
twin-0035,twin-0039,0.4
twin-0036,twin-0038,0.4
twin-0036,twin-0040,0.4
twin-0036,twin-0079,0.4
twin-0036,twin-0126,0.4
twin-0036,twin-0128,0.4
twin-0038,twin-0040,0.4
twin-0038,twin-0079,0.4
twin-0038,twin-0126,0.4
twin-0038,twin-0128,0.4
twin-0040,twin-0079,0.4
twin-0040,twin-0126,0.4
twin-0040,twin-0128,0.4
twin-0042,twin-0082,0.4
twin-0042,twin-0106,0.4
twin-0046,twin-0051,0.4
twin-0046,twin-0053,0.4
twin-0046,twin-0054,0.4
twin-0046,twin-0056,0.4
twin-0046,twin-0068,0.4
twin-0046,twin-0087,0.4
twin-0046,twin-0102,0.4
twin-0046,twin-0110,0.4
twin-0046,twin-0147,0.4
twin-0051,twin-0053,0.4
twin-0051,twin-0054,0.4
twin-0051,twin-0056,0.4
twin-0051,twin-0068,0.4
twin-0051,twin-0102,0.4
twin-0051,twin-0110,0.4
twin-0051,twin-0147,0.4
twin-0053,twin-0054,0.4
twin-0053,twin-0056,0.4
twin-0053,twin-0068,0.4
twin-0053,twin-0102,0.4
twin-0053,twin-0110,0.4
twin-0053,twin-0147,0.4
twin-0054,twin-0056,0.4
twin-0054,twin-0068,0.4
twin-0054,twin-0102,0.4
twin-0054,twin-0110,0.4
twin-0054,twin-0147,0.4
twin-0055,twin-0111,0.4
twin-0056,twin-0068,0.4
twin-0056,twin-0102,0.4
twin-0056,twin-0110,0.4
twin-0056,twin-0147,0.4
twin-0060,twin-0123,0.4
twin-0061,twin-0063,0.4
twin-0061,twin-0064,0.4
twin-0063,twin-0064,0.4
twin-0065,twin-0073,0.4
twin-0065,twin-0144,0.4
twin-0066,twin-0068,0.4
twin-0066,twin-0072,0.4
twin-0067,twin-0069,0.4
twin-0067,twin-0085,0.4
twin-0068,twin-0072,0.4
twin-0068,twin-0102,0.4
twin-0068,twin-0110,0.4
twin-0068,twin-0147,0.4
twin-0069,twin-0085,0.4
twin-0073,twin-0144,0.4
twin-0074,twin-0097,0.4
twin-0075,twin-0077,0.4
twin-0075,twin-0079,0.4
twin-0076,twin-0078,0.4
twin-0076,twin-0080,0.4
twin-0078,twin-0080,0.4
twin-0079,twin-0126,0.4
twin-0079,twin-0128,0.4
twin-0081,twin-0129,0.4
twin-0082,twin-0106,0.4
twin-0086,twin-0087,0.4
twin-0086,twin-0108,0.4
twin-0086,twin-0119,0.4
twin-0087,twin-0108,0.4
twin-0087,twin-0119,0.4
twin-0088,twin-0092,0.4
twin-0091,twin-0095,0.4
twin-0091,twin-0107,0.4
twin-0091,twin-0109,0.4
twin-0093,twin-0095,0.4
twin-0099,twin-0103,0.4
twin-0099,twin-0104,0.4
twin-0102,twin-0110,0.4
twin-0102,twin-0147,0.4
twin-0103,twin-0104,0.4
twin-0107,twin-0109,0.4
twin-0108,twin-0119,0.4
twin-0110,twin-0147,0.4
twin-0114,twin-0116,0.4
twin-0114,twin-0130,0.4
twin-0115,twin-0117,0.4
twin-0116,twin-0130,0.4
twin-0125,twin-0127,0.4
twin-0126,twin-0128,0.4
twin-0134,twin-0136,0.4
twin-0139,twin-0143,0.4
twin-0141,twin-0142,0.4
twin-0146,twin-0147,0.4
twin-0146,twin-0150,0.4
twin-0147,twin-0150,0.4
