twin_a,twin_b,weight
twin-0002,twin-0004,0.4
twin-0002,twin-0005,0.4
twin-0002,twin-0006,0.4
twin-0003,twin-0026,0.4
twin-0003,twin-0042,0.4
twin-0004,twin-0005,0.4
twin-0004,twin-0006,0.4
twin-0005,twin-0006,0.4
twin-0008,twin-0041,0.4
twin-0008,twin-0097,0.4
twin-0009,twin-0016,0.4
twin-0009,twin-0057,0.4
twin-0009,twin-0061,0.4
twin-0009,twin-0062,0.4
twin-0009,twin-0063,0.4
twin-0009,twin-0070,0.4
twin-0009,twin-0073,0.4
twin-0009,twin-0074,0.4
twin-0009,twin-0075,0.4
twin-0009,twin-0076,0.4
twin-0009,twin-0077,0.4
twin-0009,twin-0089,0.4
twin-0009,twin-0099,0.4
twin-0009,twin-0100,0.4
twin-0009,twin-0102,0.4
twin-0009,twin-0103,0.4
twin-0009,twin-0104,0.4
twin-0009,twin-0117,0.4
twin-0009,twin-0118,0.4
twin-0009,twin-0120,0.4
twin-0009,twin-0137,0.4
twin-0009,twin-0140,0.4
twin-0009,twin-0142,0.4
twin-0009,twin-0147,0.4
twin-0016,twin-0057,0.4
twin-0016,twin-0061,0.4
twin-0016,twin-0062,0.4
twin-0016,twin-0063,0.4
twin-0016,twin-0070,0.4
twin-0016,twin-0073,0.4
twin-0016,twin-0074,0.4
twin-0016,twin-0075,0.4
twin-0016,twin-0076,0.4
twin-0016,twin-0077,0.4
twin-0016,twin-0089,0.4
twin-0016,twin-0099,0.4
twin-0016,twin-0100,0.4
twin-0016,twin-0102,0.4
twin-0016,twin-0103,0.4
twin-0016,twin-0104,0.4
twin-0016,twin-0117,0.4
twin-0016,twin-0118,0.4
twin-0016,twin-0120,0.4
twin-0016,twin-0137,0.4
twin-0016,twin-0140,0.4
twin-0016,twin-0142,0.4
twin-0016,twin-0147,0.4
twin-0026,twin-0042,0.4
twin-0034,twin-0035,0.4
twin-0034,twin-0037,0.4
twin-0034,twin-0039,0.4
twin-0034,twin-0045,0.4
twin-0034,twin-0081,0.4
twin-0034,twin-0082,0.4
twin-0034,twin-0083,0.4
twin-0034,twin-0106,0.4
twin-0034,twin-0107,0.4
twin-0034,twin-0109,0.4
twin-0034,twin-0111,0.4
twin-0034,twin-0114,0.4
twin-0034,twin-0115,0.4
twin-0034,twin-0116,0.4
twin-0034,twin-0119,0.4
twin-0034,twin-0122,0.4
twin-0034,twin-0130,0.4
twin-0034,twin-0133,0.4
twin-0034,twin-0135,0.4
twin-0034,twin-0136,0.4
twin-0035,twin-0037,0.4
twin-0035,twin-0039,0.4
twin-0035,twin-0045,0.4
twin-0035,twin-0081,0.4
twin-0035,twin-0082,0.4
twin-0035,twin-0083,0.4
twin-0035,twin-0106,0.4
twin-0035,twin-0107,0.4
twin-0035,twin-0109,0.4
twin-0035,twin-0111,0.4
twin-0035,twin-0114,0.4
twin-0035,twin-0115,0.4
twin-0035,twin-0116,0.4
twin-0035,twin-0119,0.4
twin-0035,twin-0122,0.4
twin-0035,twin-0130,0.4
twin-0035,twin-0133,0.4
twin-0035,twin-0135,0.4
twin-0035,twin-0136,0.4
twin-0037,twin-0039,0.4
twin-0037,twin-0045,0.4
twin-0037,twin-0081,0.4
twin-0037,twin-0082,0.4
twin-0037,twin-0083,0.4
twin-0037,twin-0106,0.4
twin-0037,twin-0107,0.4
twin-0037,twin-0109,0.4
twin-0037,twin-0111,0.4
twin-0037,twin-0114,0.4
twin-0037,twin-0115,0.4
twin-0037,twin-0116,0.4
twin-0037,twin-0119,0.4
twin-0037,twin-0122,0.4
twin-0037,twin-0130,0.4
twin-0037,twin-0133,0.4
twin-0037,twin-0135,0.4
twin-0037,twin-0136,0.4
twin-0039,twin-0045,0.4
twin-0039,twin-0081,0.4
twin-0039,twin-0082,0.4
twin-0039,twin-0083,0.4
twin-0039,twin-0106,0.4
twin-0039,twin-0107,0.4
twin-0039,twin-0109,0.4
twin-0039,twin-0111,0.4
twin-0039,twin-0114,0.4
twin-0039,twin-0115,0.4
twin-0039,twin-0116,0.4
twin-0039,twin-0119,0.4
twin-0039,twin-0122,0.4
twin-0039,twin-0130,0.4
twin-0039,twin-0133,0.4
twin-0039,twin-0135,0.4
twin-0039,twin-0136,0.4
twin-0041,twin-0097,0.4
twin-0042,twin-0145,0.4
twin-0045,twin-0081,0.4
twin-0045,twin-0082,0.4
twin-0045,twin-0083,0.4
twin-0045,twin-0106,0.4
twin-0045,twin-0107,0.4
twin-0045,twin-0109,0.4
twin-0045,twin-0111,0.4
twin-0045,twin-0114,0.4
twin-0045,twin-0115,0.4
twin-0045,twin-0116,0.4
twin-0045,twin-0119,0.4
twin-0045,twin-0122,0.4
twin-0045,twin-0130,0.4
twin-0045,twin-0133,0.4
twin-0045,twin-0135,0.4
twin-0045,twin-0136,0.4
twin-0049,twin-0065,0.4
twin-0049,twin-0105,0.4
twin-0049,twin-0113,0.4
twin-0049,twin-0144,0.4
twin-0057,twin-0061,0.4
twin-0057,twin-0062,0.4
twin-0057,twin-0063,0.4
twin-0057,twin-0070,0.4
twin-0057,twin-0073,0.4
twin-0057,twin-0074,0.4
twin-0057,twin-0075,0.4
twin-0057,twin-0076,0.4
twin-0057,twin-0077,0.4
twin-0057,twin-0089,0.4
twin-0057,twin-0099,0.4
twin-0057,twin-0100,0.4
twin-0057,twin-0102,0.4
twin-0057,twin-0103,0.4
twin-0057,twin-0104,0.4
twin-0057,twin-0117,0.4
twin-0057,twin-0118,0.4
twin-0057,twin-0120,0.4
twin-0057,twin-0137,0.4
twin-0057,twin-0140,0.4
twin-0057,twin-0142,0.4
twin-0057,twin-0147,0.4
twin-0061,twin-0062,0.4
twin-0061,twin-0063,0.4
twin-0061,twin-0070,0.4
twin-0061,twin-0073,0.4
twin-0061,twin-0074,0.4
twin-0061,twin-0075,0.4
twin-0061,twin-0076,0.4
twin-0061,twin-0077,0.4
twin-0061,twin-0089,0.4
twin-0061,twin-0099,0.4
twin-0061,twin-0100,0.4
twin-0061,twin-0102,0.4
twin-0061,twin-0103,0.4
twin-0061,twin-0104,0.4
twin-0061,twin-0117,0.4
twin-0061,twin-0118,0.4
twin-0061,twin-0120,0.4
twin-0061,twin-0137,0.4
twin-0061,twin-0140,0.4
twin-0061,twin-0142,0.4
twin-0061,twin-0147,0.4
twin-0062,twin-0063,0.4
twin-0062,twin-0070,0.4
twin-0062,twin-0073,0.4
twin-0062,twin-0074,0.4
twin-0062,twin-0075,0.4
twin-0062,twin-0076,0.4
twin-0062,twin-0077,0.4
twin-0062,twin-0089,0.4
twin-0062,twin-0099,0.4
twin-0062,twin-0100,0.4
twin-0062,twin-0102,0.4
twin-0062,twin-0103,0.4
twin-0062,twin-0104,0.4
twin-0062,twin-0117,0.4
twin-0062,twin-0118,0.4
twin-0062,twin-0120,0.4
twin-0062,twin-0137,0.4
twin-0062,twin-0140,0.4
twin-0062,twin-0142,0.4
twin-0062,twin-0147,0.4
twin-0063,twin-0070,0.4
twin-0063,twin-0073,0.4
twin-0063,twin-0074,0.4
twin-0063,twin-0075,0.4
twin-0063,twin-0076,0.4
twin-0063,twin-0077,0.4
twin-0063,twin-0089,0.4
twin-0063,twin-0099,0.4
twin-0063,twin-0100,0.4
twin-0063,twin-0102,0.4
twin-0063,twin-0103,0.4
twin-0063,twin-0104,0.4
twin-0063,twin-0117,0.4
twin-0063,twin-0118,0.4
twin-0063,twin-0120,0.4
twin-0063,twin-0137,0.4
twin-0063,twin-0140,0.4
twin-0063,twin-0142,0.4
twin-0063,twin-0147,0.4
twin-0065,twin-0105,0.4
twin-0065,twin-0113,0.4
twin-0065,twin-0144,0.4
twin-0070,twin-0073,0.4
