twin_a,twin_b,weight
twin-0001,twin-0033,0.3
twin-0002,twin-0005,0.3
twin-0004,twin-0079,0.3
twin-0004,twin-0135,0.3
twin-0006,twin-0070,0.3
twin-0006,twin-0076,0.3
twin-0012,twin-0014,0.3
twin-0012,twin-0020,0.3
twin-0012,twin-0024,0.3
twin-0012,twin-0036,0.3
twin-0012,twin-0062,0.3
twin-0012,twin-0068,0.3
twin-0012,twin-0070,0.3
twin-0012,twin-0076,0.3
twin-0012,twin-0078,0.3
twin-0012,twin-0080,0.3
twin-0012,twin-0092,0.3
twin-0012,twin-0134,0.3
twin-0014,twin-0020,0.3
twin-0014,twin-0024,0.3
twin-0014,twin-0036,0.3
twin-0014,twin-0062,0.3
twin-0014,twin-0068,0.3
twin-0014,twin-0070,0.3
twin-0014,twin-0076,0.3
twin-0014,twin-0078,0.3
twin-0014,twin-0080,0.3
twin-0014,twin-0092,0.3
twin-0014,twin-0104,0.3
twin-0014,twin-0126,0.3
twin-0014,twin-0128,0.3
twin-0014,twin-0134,0.3
twin-0014,twin-0149,0.3
twin-0017,twin-0105,0.3
twin-0017,twin-0121,0.3
twin-0017,twin-0144,0.3
twin-0020,twin-0024,0.3
twin-0020,twin-0036,0.3
twin-0020,twin-0062,0.3
twin-0020,twin-0068,0.3
twin-0020,twin-0070,0.3
twin-0020,twin-0076,0.3
twin-0020,twin-0078,0.3
twin-0020,twin-0080,0.3
twin-0020,twin-0092,0.3
twin-0020,twin-0096,0.3
twin-0020,twin-0134,0.3
twin-0020,twin-0147,0.3
twin-0024,twin-0036,0.3
twin-0024,twin-0062,0.3
twin-0024,twin-0068,0.3
twin-0024,twin-0070,0.3
twin-0024,twin-0076,0.3
twin-0024,twin-0078,0.3
twin-0024,twin-0080,0.3
twin-0024,twin-0092,0.3
twin-0024,twin-0096,0.3
twin-0024,twin-0134,0.3
twin-0024,twin-0147,0.3
twin-0027,twin-0029,0.3
twin-0027,twin-0031,0.3
twin-0029,twin-0031,0.3
twin-0030,twin-0032,0.3
twin-0030,twin-0051,0.3
twin-0032,twin-0051,0.3
twin-0033,twin-0129,0.3
twin-0035,twin-0039,0.3
twin-0036,twin-0062,0.3
twin-0036,twin-0068,0.3
twin-0036,twin-0070,0.3
twin-0036,twin-0076,0.3
twin-0036,twin-0078,0.3
twin-0036,twin-0080,0.3
twin-0036,twin-0092,0.3
twin-0036,twin-0104,0.3
twin-0036,twin-0126,0.3
twin-0036,twin-0128,0.3
twin-0036,twin-0134,0.3
twin-0036,twin-0149,0.3
twin-0038,twin-0040,0.3
twin-0040,twin-0094,0.3
twin-0040,twin-0110,0.3
twin-0042,twin-0130,0.3
twin-0042,twin-0145,0.3
twin-0048,twin-0110,0.3
twin-0049,twin-0065,0.3
twin-0049,twin-0073,0.3
twin-0049,twin-0089,0.3
twin-0049,twin-0129,0.3
twin-0053,twin-0056,0.3
twin-0057,twin-0081,0.3
twin-0060,twin-0064,0.3
twin-0062,twin-0068,0.3
twin-0062,twin-0070,0.3
twin-0062,twin-0076,0.3
twin-0062,twin-0078,0.3
twin-0062,twin-0080,0.3
twin-0062,twin-0092,0.3
twin-0062,twin-0134,0.3
twin-0065,twin-0073,0.3
twin-0065,twin-0089,0.3
twin-0065,twin-0129,0.3
twin-0067,twin-0071,0.3
twin-0068,twin-0070,0.3
twin-0068,twin-0076,0.3
twin-0068,twin-0078,0.3
twin-0068,twin-0080,0.3
twin-0068,twin-0092,0.3
twin-0068,twin-0134,0.3
twin-0070,twin-0076,0.3
twin-0070,twin-0078,0.3
twin-0070,twin-0080,0.3
twin-0070,twin-0092,0.3
twin-0070,twin-0134,0.3
twin-0072,twin-0102,0.3
twin-0073,twin-0089,0.3
twin-0073,twin-0121,0.3
twin-0073,twin-0129,0.3
twin-0076,twin-0078,0.3
twin-0076,twin-0080,0.3
twin-0076,twin-0092,0.3
twin-0076,twin-0134,0.3
twin-0078,twin-0080,0.3
twin-0078,twin-0092,0.3
twin-0078,twin-0134,0.3
twin-0080,twin-0092,0.3
twin-0080,twin-0134,0.3
twin-0086,twin-0112,0.3
twin-0086,twin-0123,0.3
twin-0086,twin-0134,0.3
twin-0089,twin-0129,0.3
twin-0092,twin-0096,0.3
twin-0092,twin-0134,0.3
twin-0092,twin-0147,0.3
twin-0094,twin-0110,0.3
twin-0096,twin-0128,0.3
twin-0096,twin-0147,0.3
twin-0104,twin-0126,0.3
twin-0104,twin-0128,0.3
twin-0104,twin-0149,0.3
twin-0112,twin-0123,0.3
twin-0112,twin-0134,0.3
twin-0115,twin-0119,0.3
twin-0116,twin-0120,0.3
twin-0121,twin-0144,0.3
twin-0123,twin-0134,0.3
twin-0124,twin-0126,0.3
twin-0124,twin-0128,0.3
twin-0125,twin-0127,0.3
twin-0126,twin-0128,0.3
twin-0126,twin-0149,0.3
twin-0128,twin-0149,0.3
twin-0130,twin-0145,0.3
twin-0132,twin-0136,0.3
twin-0139,twin-0141,0.3
twin-0146,twin-0148,0.3
twin-0146,twin-0150,0.3
twin-0147,twin-0149,0.3
twin-0148,twin-0150,0.3
