twin_a,twin_b,weight
twin-0001,twin-0002,0.4
twin-0004,twin-0123,0.4
twin-0006,twin-0008,0.4
twin-0006,twin-0064,0.4
twin-0006,twin-0072,0.4
twin-0009,twin-0033,0.4
twin-0009,twin-0057,0.4
twin-0009,twin-0113,0.4
twin-0009,twin-0129,0.4
twin-0009,twin-0137,0.4
twin-0009,twin-0145,0.4
twin-0010,twin-0050,0.4
twin-0012,twin-0013,0.4
twin-0012,twin-0014,0.4
twin-0012,twin-0016,0.4
twin-0012,twin-0060,0.4
twin-0012,twin-0093,0.4
twin-0012,twin-0095,0.4
twin-0012,twin-0101,0.4
twin-0012,twin-0115,0.4
twin-0012,twin-0132,0.4
twin-0012,twin-0136,0.4
twin-0012,twin-0139,0.4
twin-0013,twin-0014,0.4
twin-0013,twin-0015,0.4
twin-0013,twin-0016,0.4
twin-0013,twin-0093,0.4
twin-0013,twin-0095,0.4
twin-0013,twin-0115,0.4
twin-0013,twin-0139,0.4
twin-0014,twin-0016,0.4
twin-0014,twin-0060,0.4
twin-0014,twin-0093,0.4
twin-0014,twin-0095,0.4
twin-0014,twin-0115,0.4
twin-0014,twin-0132,0.4
twin-0014,twin-0136,0.4
twin-0014,twin-0139,0.4
twin-0016,twin-0060,0.4
twin-0016,twin-0093,0.4
twin-0016,twin-0095,0.4
twin-0016,twin-0115,0.4
twin-0016,twin-0139,0.4
twin-0017,twin-0065,0.4
twin-0017,twin-0089,0.4
twin-0017,twin-0097,0.4
twin-0019,twin-0021,0.4
twin-0019,twin-0023,0.4
twin-0019,twin-0077,0.4
twin-0019,twin-0099,0.4
twin-0019,twin-0103,0.4
twin-0019,twin-0104,0.4
twin-0021,twin-0023,0.4
twin-0021,twin-0077,0.4
twin-0021,twin-0099,0.4
twin-0021,twin-0103,0.4
twin-0021,twin-0104,0.4
twin-0022,twin-0075,0.4
twin-0022,twin-0079,0.4
twin-0022,twin-0100,0.4
twin-0022,twin-0101,0.4
twin-0022,twin-0102,0.4
twin-0022,twin-0126,0.4
twin-0022,twin-0147,0.4
twin-0022,twin-0149,0.4
twin-0023,twin-0077,0.4
twin-0023,twin-0099,0.4
twin-0023,twin-0103,0.4
twin-0023,twin-0104,0.4
twin-0024,twin-0034,0.4
twin-0024,twin-0058,0.4
twin-0024,twin-0062,0.4
twin-0024,twin-0064,0.4
twin-0024,twin-0068,0.4
twin-0024,twin-0070,0.4
twin-0024,twin-0074,0.4
twin-0024,twin-0078,0.4
twin-0024,twin-0084,0.4
twin-0024,twin-0086,0.4
twin-0024,twin-0123,0.4
twin-0024,twin-0124,0.4
twin-0024,twin-0125,0.4
twin-0024,twin-0127,0.4
twin-0024,twin-0128,0.4
twin-0026,twin-0061,0.4
twin-0027,twin-0029,0.4
twin-0027,twin-0050,0.4
twin-0027,twin-0090,0.4
twin-0027,twin-0091,0.4
twin-0028,twin-0030,0.4
twin-0028,twin-0048,0.4
twin-0030,twin-0048,0.4
twin-0033,twin-0034,0.4
twin-0033,twin-0041,0.4
twin-0033,twin-0042,0.4
twin-0033,twin-0058,0.4
twin-0033,twin-0066,0.4
twin-0033,twin-0074,0.4
twin-0033,twin-0081,0.4
twin-0033,twin-0089,0.4
twin-0033,twin-0090,0.4
twin-0033,twin-0106,0.4
twin-0033,twin-0129,0.4
twin-0033,twin-0130,0.4
twin-0033,twin-0144,0.4
twin-0034,twin-0041,0.4
twin-0034,twin-0042,0.4
twin-0034,twin-0058,0.4
twin-0034,twin-0062,0.4
twin-0034,twin-0064,0.4
twin-0034,twin-0066,0.4
