twin_a,twin_b,weight
twin-0001,twin-0002,0.8
twin-0001,twin-0003,0.8
twin-0001,twin-0004,0.8
twin-0001,twin-0005,0.8
twin-0001,twin-0006,0.8
twin-0001,twin-0007,0.8
twin-0001,twin-0008,0.8
twin-0002,twin-0003,0.8
twin-0002,twin-0004,0.8
twin-0002,twin-0005,0.8
twin-0002,twin-0006,0.8
twin-0002,twin-0007,0.8
twin-0002,twin-0008,0.8
twin-0003,twin-0004,0.8
twin-0003,twin-0005,0.8
twin-0003,twin-0006,0.8
twin-0003,twin-0007,0.8
twin-0003,twin-0008,0.8
twin-0004,twin-0005,0.8
twin-0004,twin-0006,0.8
twin-0004,twin-0007,0.8
twin-0004,twin-0008,0.8
twin-0005,twin-0006,0.8
twin-0005,twin-0007,0.8
twin-0005,twin-0008,0.8
twin-0006,twin-0007,0.8
twin-0006,twin-0008,0.8
twin-0007,twin-0008,0.8
twin-0008,twin-0044,0.8
twin-0008,twin-0052,0.8
twin-0008,twin-0084,0.8
twin-0008,twin-0108,0.8
twin-0008,twin-0126,0.8
twin-0008,twin-0127,0.8
twin-0009,twin-0010,0.8
twin-0009,twin-0011,0.8
twin-0009,twin-0012,0.8
twin-0009,twin-0013,0.8
twin-0009,twin-0014,0.8
twin-0009,twin-0015,0.8
twin-0009,twin-0016,0.8
twin-0010,twin-0011,0.8
twin-0010,twin-0012,0.8
twin-0010,twin-0013,0.8
twin-0010,twin-0014,0.8
twin-0010,twin-0015,0.8
twin-0010,twin-0016,0.8
twin-0011,twin-0012,0.8
twin-0011,twin-0013,0.8
twin-0011,twin-0014,0.8
twin-0011,twin-0015,0.8
twin-0011,twin-0016,0.8
twin-0012,twin-0013,0.8
twin-0012,twin-0014,0.8
twin-0012,twin-0015,0.8
twin-0012,twin-0016,0.8
twin-0013,twin-0014,0.8
twin-0013,twin-0015,0.8
twin-0013,twin-0016,0.8
twin-0014,twin-0015,0.8
twin-0014,twin-0016,0.8
twin-0015,twin-0016,0.8
twin-0017,twin-0018,0.8
twin-0017,twin-0019,0.8
twin-0017,twin-0020,0.8
twin-0017,twin-0021,0.8
twin-0017,twin-0022,0.8
twin-0017,twin-0023,0.8
twin-0017,twin-0024,0.8
twin-0018,twin-0019,0.8
twin-0018,twin-0020,0.8
twin-0018,twin-0021,0.8
twin-0018,twin-0022,0.8
twin-0018,twin-0023,0.8
twin-0018,twin-0024,0.8
twin-0019,twin-0020,0.8
twin-0019,twin-0021,0.8
twin-0019,twin-0022,0.8
twin-0019,twin-0023,0.8
twin-0019,twin-0024,0.8
twin-0020,twin-0021,0.8
twin-0020,twin-0022,0.8
twin-0020,twin-0023,0.8
twin-0020,twin-0024,0.8
twin-0021,twin-0022,0.8
twin-0021,twin-0023,0.8
twin-0021,twin-0024,0.8
twin-0022,twin-0023,0.8
twin-0022,twin-0024,0.8
twin-0023,twin-0024,0.8
twin-0025,twin-0026,0.8
twin-0025,twin-0027,0.8
twin-0025,twin-0028,0.8
twin-0025,twin-0029,0.8
twin-0025,twin-0030,0.8
twin-0025,twin-0031,0.8
twin-0025,twin-0032,0.8
twin-0026,twin-0027,0.8
twin-0026,twin-0028,0.8
twin-0026,twin-0029,0.8
twin-0026,twin-0030,0.8
twin-0026,twin-0031,0.8
twin-0026,twin-0032,0.8
twin-0027,twin-0028,0.8
twin-0027,twin-0029,0.8
twin-0027,twin-0030,0.8
twin-0027,twin-0031,0.8
twin-0027,twin-0032,0.8
twin-0028,twin-0029,0.8
twin-0028,twin-0030,0.8
twin-0028,twin-0031,0.8
twin-0028,twin-0032,0.8
twin-0029,twin-0030,0.8
twin-0029,twin-0031,0.8
twin-0029,twin-0032,0.8
twin-0030,twin-0031,0.8
twin-0030,twin-0032,0.8
twin-0031,twin-0032,0.8
twin-0033,twin-0034,0.8
twin-0033,twin-0035,0.8
twin-0033,twin-0036,0.8
twin-0033,twin-0037,0.8
twin-0033,twin-0038,0.8
twin-0033,twin-0039,0.8
twin-0033,twin-0040,0.8
twin-0034,twin-0035,0.8
twin-0034,twin-0036,0.8
twin-0034,twin-0037,0.8
twin-0034,twin-0038,0.8
twin-0034,twin-0039,0.8
twin-0034,twin-0040,0.8
twin-0035,twin-0036,0.8
twin-0035,twin-0037,0.8
twin-0035,twin-0038,0.8
twin-0035,twin-0039,0.8
twin-0035,twin-0040,0.8
twin-0036,twin-0037,0.8
twin-0036,twin-0038,0.8
twin-0036,twin-0039,0.8
twin-0036,twin-0040,0.8
twin-0037,twin-0038,0.8
twin-0037,twin-0039,0.8
twin-0037,twin-0040,0.8
twin-0038,twin-0039,0.8
twin-0038,twin-0040,0.8
twin-0039,twin-0040,0.8
twin-0041,twin-0042,0.8
twin-0041,twin-0043,0.8
twin-0041,twin-0044,0.8
twin-0041,twin-0045,0.8
twin-0041,twin-0046,0.8
twin-0041,twin-0047,0.8
twin-0041,twin-0048,0.8
twin-0042,twin-0043,0.8
twin-0042,twin-0044,0.8
twin-0042,twin-0045,0.8
twin-0042,twin-0046,0.8
twin-0042,twin-0047,0.8
twin-0042,twin-0048,0.8
twin-0043,twin-0044,0.8
twin-0043,twin-0045,0.8
twin-0043,twin-0046,0.8
twin-0043,twin-0047,0.8
twin-0043,twin-0048,0.8
twin-0044,twin-0045,0.8
twin-0044,twin-0046,0.8
twin-0044,twin-0047,0.8
twin-0044,twin-0048,0.8
twin-0044,twin-0052,0.8
twin-0044,twin-0084,0.8
twin-0044,twin-0108,0.8
twin-0044,twin-0126,0.8
twin-0044,twin-0127,0.8
twin-0045,twin-0046,0.8
twin-0045,twin-0047,0.8
twin-0045,twin-0048,0.8
twin-0046,twin-0047,0.8
twin-0046,twin-0048,0.8
twin-0047,twin-0048,0.8
twin-0049,twin-0050,0.8
twin-0049,twin-0051,0.8
twin-0049,twin-0052,0.8
twin-0049,twin-0053,0.8
twin-0049,twin-0054,0.8
twin-0049,twin-0055,0.8
twin-0049,twin-0056,0.8
twin-0050,twin-0051,0.8
twin-0050,twin-0052,0.8
twin-0050,twin-0053,0.8
twin-0050,twin-0054,0.8
twin-0050,twin-0055,0.8
twin-0050,twin-0056,0.8
twin-0051,twin-0052,0.8
twin-0051,twin-0053,0.8
twin-0051,twin-0054,0.8
twin-0051,twin-0055,0.8
twin-0051,twin-0056,0.8
twin-0052,twin-0053,0.8
twin-0052,twin-0054,0.8
twin-0052,twin-0055,0.8
twin-0052,twin-0056,0.8
twin-0052,twin-0084,0.8
twin-0052,twin-0108,0.8
twin-0052,twin-0126,0.8
twin-0052,twin-0127,0.8
twin-0053,twin-0054,0.8
twin-0053,twin-0055,0.8
twin-0053,twin-0056,0.8
twin-0054,twin-0055,0.8
twin-0054,twin-0056,0.8
twin-0055,twin-0056,0.8
twin-0057,twin-0058,0.8
twin-0057,twin-0059,0.8
twin-0057,twin-0060,0.8
twin-0057,twin-0061,0.8
twin-0057,twin-0062,0.8
twin-0057,twin-0063,0.8
twin-0057,twin-0064,0.8
twin-0058,twin-0059,0.8
twin-0058,twin-0060,0.8
twin-0058,twin-0061,0.8
twin-0058,twin-0062,0.8
twin-0058,twin-0063,0.8
twin-0058,twin-0064,0.8
twin-0059,twin-0060,0.8
twin-0059,twin-0061,0.8
twin-0059,twin-0062,0.8
twin-0059,twin-0063,0.8
twin-0059,twin-0064,0.8
twin-0060,twin-0061,0.8
twin-0060,twin-0062,0.8
twin-0060,twin-0063,0.8
twin-0060,twin-0064,0.8
twin-0061,twin-0062,0.8
twin-0061,twin-0063,0.8
twin-0061,twin-0064,0.8
twin-0062,twin-0063,0.8
twin-0062,twin-0064,0.8
twin-0063,twin-0064,0.8
twin-0065,twin-0066,0.8
twin-0065,twin-0067,0.8
twin-0065,twin-0068,0.8
twin-0065,twin-0069,0.8
twin-0065,twin-0070,0.8
twin-0065,twin-0071,0.8
twin-0065,twin-0072,0.8
twin-0066,twin-0067,0.8
twin-0066,twin-0068,0.8
twin-0066,twin-0069,0.8
twin-0066,twin-0070,0.8
twin-0066,twin-0071,0.8
twin-0066,twin-0072,0.8
twin-0067,twin-0068,0.8
twin-0067,twin-0069,0.8
twin-0067,twin-0070,0.8
twin-0067,twin-0071,0.8
twin-0067,twin-0072,0.8
twin-0068,twin-0069,0.8
twin-0068,twin-0070,0.8
twin-0068,twin-0071,0.8
twin-0068,twin-0072,0.8
twin-0069,twin-0070,0.8
twin-0069,twin-0071,0.8
twin-0069,twin-0072,0.8
twin-0070,twin-0071,0.8
twin-0070,twin-0072,0.8
twin-0071,twin-0072,0.8
twin-0073,twin-0074,0.8
twin-0073,twin-0075,0.8
twin-0073,twin-0076,0.8
twin-0073,twin-0077,0.8
twin-0073,twin-0078,0.8
twin-0073,twin-0079,0.8
twin-0073,twin-0080,0.8
twin-0074,twin-0075,0.8
twin-0074,twin-0076,0.8
twin-0074,twin-0077,0.8
twin-0074,twin-0078,0.8
twin-0074,twin-0079,0.8
twin-0074,twin-0080,0.8
twin-0075,twin-0076,0.8
twin-0075,twin-0077,0.8
twin-0075,twin-0078,0.8
twin-0075,twin-0079,0.8
twin-0075,twin-0080,0.8
twin-0076,twin-0077,0.8
twin-0076,twin-0078,0.8
twin-0076,twin-0079,0.8
twin-0076,twin-0080,0.8
twin-0077,twin-0078,0.8
twin-0077,twin-0079,0.8
twin-0077,twin-0080,0.8
twin-0078,twin-0079,0.8
twin-0078,twin-0080,0.8
