twin_id,category,community,genuine
twin-0001,osint_mailing_list,osint_mailing_list:G2,1
twin-0001,osint_mailing_list,osint_mailing_list:Northwind Capital Partners:L0,1
twin-0001,osint_oss_project,osint_oss_project:Northwind Capital Partners:L0,1
twin-0001,osint_affiliation,osint_affiliation:Northwind Capital Partners:L0,1
twin-0001,osint_affiliation,osint_affiliation:G13,1
twin-0001,osint_vendor,osint_vendor:G14,1
twin-0001,osint_vendor,osint_vendor:G8,1
twin-0001,osint_certification,osint_certification:G14,1
twin-0001,osint_certification,osint_certification:G11,1
twin-0001,osint_event,osint_event:Northwind Capital Partners:L1,1
twin-0001,osint_event,osint_event:G14,1
twin-0001,osint_social,osint_social:Northwind Capital Partners:L0,1
twin-0001,osint_social,osint_social:G20,1
twin-0002,osint_mailing_list,osint_mailing_list:Northwind Capital Partners:L2,1
twin-0002,osint_mailing_list,osint_mailing_list:Northwind Capital Partners:L0,1
twin-0002,osint_oss_project,osint_oss_project:Northwind Capital Partners:L0,1
twin-0002,osint_oss_project,osint_oss_project:Northwind Capital Partners:L1,1
twin-0002,osint_affiliation,osint_affiliation:G11,1
twin-0002,osint_affiliation,osint_affiliation:G4,1
twin-0002,osint_vendor,osint_vendor:G0,1
twin-0002,osint_vendor,osint_vendor:G7,1
twin-0002,osint_certification,osint_certification:G2,1
twin-0002,osint_certification,osint_certification:G18,1
twin-0002,osint_event,osint_event:Northwind Capital Partners:L1,1
twin-0002,osint_social,osint_social:G18,1
twin-0002,osint_social,osint_social:G22,1
twin-0002,osint_social,osint_social:Northwind Capital Partners:L0,1
twin-0003,osint_mailing_list,osint_mailing_list:G6,1
twin-0003,osint_mailing_list,osint_mailing_list:G17,1
twin-0003,osint_oss_project,osint_oss_project:Northwind Capital Partners:L0,1
twin-0003,osint_oss_project,osint_oss_project:G2,1
twin-0003,osint_affiliation,osint_affiliation:G12,1
twin-0003,osint_affiliation,osint_affiliation:Northwind Capital Partners:L1,1
twin-0003,osint_vendor,osint_vendor:G16,1
twin-0003,osint_vendor,osint_vendor:G12,1
twin-0003,osint_certification,osint_certification:Northwind Capital Partners:L0,1
twin-0003,osint_event,osint_event:G3,1
twin-0003,osint_event,osint_event:Northwind Capital Partners:L1,1
twin-0003,osint_social,osint_social:G21,1
twin-0003,osint_social,osint_social:Northwind Capital Partners:L0,1
twin-0003,osint_social,osint_social:G14,1
twin-0004,osint_mailing_list,osint_mailing_list:G16,1
twin-0004,osint_oss_project,osint_oss_project:G15,1
twin-0004,osint_oss_project,osint_oss_project:Northwind Capital Partners:L0,1
twin-0004,osint_affiliation,osint_affiliation:Northwind Capital Partners:L1,1
twin-0004,osint_vendor,osint_vendor:G0,1
twin-0004,osint_vendor,osint_vendor:Northwind Capital Partners:L1,1
twin-0004,osint_certification,osint_certification:Northwind Capital Partners:L0,1
twin-0004,osint_certification,osint_certification:G17,1
twin-0004,osint_event,osint_event:G3,1
twin-0004,osint_event,osint_event:Northwind Capital Partners:L0,1
twin-0004,osint_social,osint_social:Northwind Capital Partners:L0,1
twin-0004,osint_social,osint_social:G0,1
twin-0005,osint_mailing_list,osint_mailing_list:G15,1
twin-0005,osint_mailing_list,osint_mailing_list:Northwind Capital Partners:L1,1
twin-0005,osint_oss_project,osint_oss_project:Northwind Capital Partners:L1,1
twin-0005,osint_oss_project,osint_oss_project:G15,1
twin-0005,osint_affiliation,osint_affiliation:Northwind Capital Partners:L1,1
twin-0005,osint_affiliation,osint_affiliation:G12,1
twin-0005,osint_vendor,osint_vendor:Northwind Capital Partners:L0,1
twin-0005,osint_vendor,osint_vendor:G10,1
twin-0005,osint_certification,osint_certification:Northwind Capital Partners:L0,1
twin-0005,osint_certification,osint_certification:G19,1
twin-0005,osint_event,osint_event:Northwind Capital Partners:L0,1
twin-0005,osint_event,osint_event:G10,1
twin-0005,osint_social,osint_social:G8,1
twin-0005,osint_social,osint_social:G3,1
twin-0005,osint_social,osint_social:G7,1
twin-0006,osint_mailing_list,osint_mailing_list:G3,1
twin-0006,osint_mailing_list,osint_mailing_list:G14,1
twin-0006,osint_oss_project,osint_oss_project:G20,1
twin-0006,osint_oss_project,osint_oss_project:Northwind Capital Partners:L1,1
twin-0006,osint_affiliation,osint_affiliation:G11,1
twin-0006,osint_affiliation,osint_affiliation:G8,1
twin-0006,osint_vendor,osint_vendor:Northwind Capital Partners:L1,1
twin-0006,osint_certification,osint_certification:G19,1
twin-0006,osint_certification,osint_certification:G12,1
twin-0006,osint_event,osint_event:G12,1
twin-0006,osint_event,osint_event:G5,1
twin-0006,osint_social,osint_social:G10,1
twin-0006,osint_social,osint_social:G26,1
twin-0006,osint_social,osint_social:G5,1
twin-0007,osint_mailing_list,osint_mailing_list:G16,1
twin-0007,osint_mailing_list,osint_mailing_list:G15,1
twin-0007,osint_oss_project,osint_oss_project:G5,1
twin-0007,osint_oss_project,osint_oss_project:Northwind Capital Partners:L1,1
twin-0007,osint_affiliation,osint_affiliation:G12,1
twin-0007,osint_affiliation,osint_affiliation:G2,1
twin-0007,osint_vendor,osint_vendor:Northwind Capital Partners:L0,1
twin-0007,osint_vendor,osint_vendor:G11,1
twin-0007,osint_certification,osint_certification:Northwind Capital Partners:L0,1
twin-0007,osint_event,osint_event:G0,1
twin-0007,osint_event,osint_event:G8,1
twin-0007,osint_social,osint_social:Northwind Capital Partners:L0,1
twin-0008,osint_mailing_list,osint_mailing_list:Northwind Capital Partners:L2,1
twin-0008,osint_mailing_list,osint_mailing_list:Northwind Capital Partners:L1,1
twin-0008,osint_oss_project,osint_oss_project:Northwind Capital Partners:L0,1
twin-0008,osint_affiliation,osint_affiliation:G0,1
twin-0008,osint_affiliation,osint_affiliation:Northwind Capital Partners:L0,1
twin-0008,osint_vendor,osint_vendor:G4,1
twin-0008,osint_vendor,osint_vendor:Northwind Capital Partners:L0,1
twin-0008,osint_certification,osint_certification:G20,1
twin-0008,osint_certification,osint_certification:G16,1
twin-0008,osint_event,osint_event:G0,1
twin-0008,osint_event,osint_event:G6,1
twin-0008,osint_social,osint_social:G8,1
twin-0008,osint_social,osint_social:Northwind Capital Partners:L0,1
twin-0008,osint_social,osint_social:G22,1
twin-0009,osint_mailing_list,osint_mailing_list:Meridian Health Group:L1,1
twin-0009,osint_oss_project,osint_oss_project:Meridian Health Group:L1,1
twin-0009,osint_oss_project,osint_oss_project:G8,1
twin-0009,osint_affiliation,osint_affiliation:G13,1
twin-0009,osint_affiliation,osint_affiliation:Meridian Health Group:L1,1
twin-0009,osint_vendor,osint_vendor:Meridian Health Group:L0,1
twin-0009,osint_certification,osint_certification:Meridian Health Group:L0,1
twin-0009,osint_event,osint_event:Meridian Health Group:L1,1
twin-0009,osint_social,osint_social:G26,1
twin-0009,osint_social,osint_social:G27,1
twin-0009,osint_social,osint_social:Meridian Health Group:L0,1
twin-0010,osint_mailing_list,osint_mailing_list:Meridian Health Group:L0,1
twin-0010,osint_oss_project,osint_oss_project:Meridian Health Group:L1,1
twin-0010,osint_affiliation,osint_affiliation:G8,1
twin-0010,osint_affiliation,osint_affiliation:Meridian Health Group:L1,1
twin-0010,osint_vendor,osint_vendor:Meridian Health Group:L0,1
twin-0010,osint_certification,osint_certification:G8,1
twin-0010,osint_certification,osint_certification:G19,1
twin-0010,osint_event,osint_event:Meridian Health Group:L0,1
twin-0010,osint_event,osint_event:G15,1
twin-0010,osint_social,osint_social:Meridian Health Group:L0,1
twin-0011,osint_mailing_list,osint_mailing_list:Meridian Health Group:L2,1
twin-0011,osint_mailing_list,osint_mailing_list:G7,1
twin-0011,osint_oss_project,osint_oss_project:Meridian Health Group:L0,1
twin-0011,osint_affiliation,osint_affiliation:Meridian Health Group:L0,1
twin-0011,osint_affiliation,osint_affiliation:G10,1
twin-0011,osint_vendor,osint_vendor:G2,1
twin-0011,osint_vendor,osint_vendor:G13,1
twin-0011,osint_certification,osint_certification:Meridian Health Group:L0,1
twin-0011,osint_event,osint_event:Meridian Health Group:L0,1
twin-0011,osint_social,osint_social:Meridian Health Group:L0,1
twin-0011,osint_social,osint_social:G24,1
twin-0012,osint_mailing_list,osint_mailing_list:Meridian Health Group:L2,1
twin-0012,osint_mailing_list,osint_mailing_list:G16,1
twin-0012,osint_oss_project,osint_oss_project:G2,1
twin-0012,osint_oss_project,osint_oss_project:G24,1
twin-0012,osint_affiliation,osint_affiliation:G8,1
twin-0012,osint_affiliation,osint_affiliation:Meridian Health Group:L1,1
twin-0012,osint_vendor,osint_vendor:G0,1
twin-0012,osint_vendor,osint_vendor:G14,1
twin-0012,osint_certification,osint_certification:G12,1
twin-0012,osint_certification,osint_certification:Meridian Health Group:L0,1
twin-0012,osint_event,osint_event:Meridian Health Group:L1,1
twin-0012,osint_event,osint_event:Meridian Health Group:L0,1
twin-0012,osint_social,osint_social:G10,1
twin-0012,osint_social,osint_social:Meridian Health Group:L0,1
twin-0012,osint_social,osint_social:G2,1
twin-0013,osint_mailing_list,osint_mailing_list:G19,1
twin-0013,osint_mailing_list,osint_mailing_list:G1,1
twin-0013,osint_oss_project,osint_oss_project:G11,1
twin-0013,osint_oss_project,osint_oss_project:Meridian Health Group:L1,1
twin-0013,osint_affiliation,osint_affiliation:G1,1
twin-0013,osint_affiliation,osint_affiliation:G3,1
twin-0013,osint_vendor,osint_vendor:G5,1
twin-0013,osint_vendor,osint_vendor:Meridian Health Group:L1,1
twin-0013,osint_certification,osint_certification:G1,1
twin-0013,osint_certification,osint_certification:Meridian Health Group:L0,1
twin-0013,osint_event,osint_event:Meridian Health Group:L0,1
twin-0013,osint_event,osint_event:G13,1
twin-0013,osint_social,osint_social:Meridian Health Group:L0,1
twin-0013,osint_social,osint_social:G10,1
twin-0013,osint_social,osint_social:G22,1
twin-0014,osint_mailing_list,osint_mailing_list:Meridian Health Group:L2,1
twin-0014,osint_mailing_list,osint_mailing_list:Meridian Health Group:L0,1
twin-0014,osint_oss_project,osint_oss_project:G3,1
twin-0014,osint_oss_project,osint_oss_project:Meridian Health Group:L0,1
twin-0014,osint_affiliation,osint_affiliation:G13,1
twin-0014,osint_affiliation,osint_affiliation:G3,1
twin-0014,osint_vendor,osint_vendor:G0,1
twin-0014,osint_vendor,osint_vendor:G12,1
twin-0014,osint_certification,osint_certification:G1,1
twin-0014,osint_certification,osint_certification:Meridian Health Group:L0,1
twin-0014,osint_event,osint_event:Meridian Health Group:L1,1
twin-0014,osint_event,osint_event:G4,1
twin-0014,osint_social,osint_social:G26,1
twin-0014,osint_social,osint_social:Meridian Health Group:L0,1
twin-0014,osint_social,osint_social:G24,1
twin-0015,osint_mailing_list,osint_mailing_list:Meridian Health Group:L0,1
twin-0015,osint_mailing_list,osint_mailing_list:G14,1
twin-0015,osint_oss_project,osint_oss_project:Meridian Health Group:L1,1
twin-0015,osint_oss_project,osint_oss_project:G12,1
twin-0015,osint_affiliation,osint_affiliation:Meridian Health Group:L1,1
